													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Melechet Shlomo on Mishnah Maaser Sheni	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Maasrot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Makhshirin	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Makkot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Megillah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Meilah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Menachot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Middot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Mikvaot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Moed Katan	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Nazir	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Nedarim	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Negaim	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Niddah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Oholot	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Oktzin	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Orlah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Parah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Peah	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
Melechet Shlomo on Mishnah Pesachim	Solomon Adeni	Rabbi Shlomo Adani’s (1567–c.1630) Melekhet Shlomo commentary on the Mishnah. Authored at the same time as the renowned Tosafot Yom Tov, the Melekhet Shlomo remained in manuscript form for long after. It was first published in Vilna about two hundred and fifty years after the death of the author.	פירוש על המשנה להרב שלמה עדני. על אף שנתחבר באותה תקופה של פירוש ה"תוספות יום טוב", הוא נשאר בכתב יד ולא נדפס עד כמאתים וחמישים שנה אחרי פטירת המחבר. 	1605	15	Hebron, Israel	1924	Vilna	Achronim				
