French Word,Talmud Ref,French Rashi Matches,Hebrew Rashi Matches (if different),Loazei Rashi Info
"תפוחות/אינפלי""ר",Sotah 48b,Rashi on Sotah 48b:16:2,,"1242 סוטה מח: <b>תפוחות</b><br>אינפלי""ר enfler <b>להתנפח</b><br><small>$
</small>","(48b:16:2) שתי ככרות הנדבקות כו' - שהיתה ברכה מצויה בעיסה וכשמדבקין ככרות בדופני התנור אחת בדופן זה ואחת בדופן זה שכנגדו והן תפוחות אצפליי""ר (להתנפח) בלע""ז עד שמגעת פני זו לזו כצוף זה שגדל ומתפשט והולך ותולה באויר כן אלו צפות ותפוחות באויר:"
"צפחת/ברישק""א",Sotah 48b,Rashi on Sotah 48b:17:3,,"1243 סוטה מח: <b>צפחת</b><br>ברישק""א bresche <b>חלת-דבש</b><br><small>ראה לעיל מס' 1213.$
</small>","(48b:17:3) הצפחת - ברשק""א בלע""ז שהן עבות ונכנסת השעוה עם הדבש:"
"אבן של מלח/שי""ל יימ""א",Sotah 49b,Rashi on Sotah 49b:4:1,,"1244 סוטה מט: <b>אבן של מלח</b><br>שי""ל יימ""א מלח הסלע (כגון מלח סדומית) <b>[sel geme] sel jeme</b><br><small>$
</small>","(49b:4:1) גמ' של מלח ושל גפרית - ענין עטרה עושין מאבן של מלח שהוא צלול כאבן הבדולח וקורין שליימי""א וצובעין אותה כמין ציורין בגפרית כשם שעושין בכלי זהב וכסף וקורין נאול""א:"
"דה""מ אבן של מלח/ניאיל""א",Sotah 49b,Rashi on Sotah 49b:4:1,,"1245 סוטה מט: <b>דה""מ אבן של מלח</b><br>ניאיל""א neele <b>תצריב שחור</b><br><small>ציור שחור באמצעות חומר כימי החורט את הכלי, שעליו מפעילים אותו.$
</small>","(49b:4:1) גמ' של מלח ושל גפרית - ענין עטרה עושין מאבן של מלח שהוא צלול כאבן הבדולח וקורין שליימי""א וצובעין אותה כמין ציורין בגפרית כשם שעושין בכלי זהב וכסף וקורין נאול""א:"
"חילית/לישק""א",Sotah 49b,Rashi on Sotah 49b:4:2,,"1246 סוטה מט: <b>חילית</b><br>לישק""א lesche <b>כריך (צמח)</b><br><small>ראה לעיל מס' 773.$
</small>","(49b:4:2) חילית - לישק""א כמין גומא הגדל במים:"
"טנבורא/טנבו""ר",Sotah 49b,Rashi on Sotah 49b:5:2,,"1247 סוטה מט: <b>טנבורא</b><br>טנבו""ר tanbor <b>תוף</b><br><small>רש""י מצביע על זהות המלה הארמית עם המלה הצרפתית.$
</small>",(49b:5:2) טנבורא - כך קורין אותו בלשון לעז טטנבור והוא עשוי דפנותיו עגולות כעין נפה וקושרין בדפנותיו חוטין של ברזל ושוטחין על פיו עור כשהוא לח ומותח והוא מתייבש שם מאליו וכשמכין עליו במקל דק הוא מוציא קול צלול ויש אומנין שיודעין להכות עליו מכה אחר מכה כסדר עד שנשמע כמין שיר:
"כיפה/פילטרי""ן",Sotah 49b,Rashi on Sotah 49b:6:2,,"1248 סוטה מט: <b>כיפה</b><br>פילטרי""ן feltrin <b>כובע של לֶבֶד</b><br><small>הגרסה של המקור היחיד (דפוס בומברג) היא פילטר""א, כלומר feltre (לֶבֶד, כמו במס' 228 לעיל ובמקומות רבים), אולם במשמעות של כיפה יש לנו פילטרי""ן לפחות במקום אחד נוסף (להלן מס 2295).$
</small>","(49b:6:2) כיפה - כמו כובע של צמר לבן שקורין פילטר""א (פילטרי""ן: כובע של לֶבֶד) :"
"לשון סורסי/לינג""א שוריא""ה",Sotah 49b,Rashi on Sotah 49b:11:1,,"1249 סוטה מט: <b>לשון סורסי</b><br>לינג""א שוריא""ה שפה סורית <b>[lengue surie] lenge surie</b><br><small>$
</small>","(49b:11:1) לשון סורסי - קרוב הוא ללשון ארמי ואומר אני שזה לשון גמרת ירושלמי ואומות העולם קורין אותו לינג""א שוריי""א (שפה סורית) :"
"מדינה/קונטריד""א",Gittin 2b,Rashi on Gittin 2b:4:1,,"1250 גיטין ב: <b>מדינה</b><br>קונטריד""א contrede <b>חבל ארץ</b><br><small>ראה לעיל מס' 1208. חסר בכתבי-היד, ונמצא רק בדפוסים, מאז המהדורה השנייה של סונצינו (פיזרו, רע""א?).$
</small>","(2b:4:1) אי נמי באותה מדינה - כגון מעיר לעיר במדינה אחת מדינה רונטריד""א בלע""ז ובמדינת הים לרבה בעי למימר דהא אין בקיאין לשמה לרבא דאמר לפי שאין וכו' ומתניתין משום ערעורא דזיוף הוא הכא לא צריך דהא שכיחי שיירתא:"
"כלילא/ניאי""ל",Gittin 7a,Rashi on Gittin 7a:13:1,,"1251 גיטין ז. <b>כלילא</b><br>ניאי""ל neel <b>תצריב שחור</b><br><small>ראה לעיל מס' 1245.$
</small>","(7a:13:1) כלילא - היו עושין עטרות לחתנים יש של זהב וכסף צבועות ומצוירות בגפרית ומלח שקורין ניי""ל ויש של וורד והדס:"
"פרוורי/דוקידי""ש",Gittin 8b,"Rashi on Gittin 8b:1:2,
Rashi on Gittin 8b:4:1",,"1252 גיטין ח: <b>פרוורי</b><br>דוקידי""ש duchedes <b>דוכסיות, מחוזות</b><br><small>$
</small>","(8b:1:2) בפרוורי - בהפרכיא רוקריי""ש בלע""ז:,
(8b:4:1) בפרוורי - בפילכי רוקריי""ש בלע""ז:"
"פרוורי/דוקידי""ש",Gittin 8b,"Rashi on Gittin 8b:1:2,
Rashi on Gittin 8b:4:1",,"1253 גיטין ח: <b>פרוורי</b><br>דוקידי""ש duchedes <b>דוכסיות, מחוזות</b><br><small>יש מקום לתמוה על שני דברים: א) מה ראה רש""י לחזור על הלעז, שהביאו כמה שורות לפני כן, כאשר הופיע בפעם הראשונה אותו משפט; ב) בפירושו הוא מסביר בפעם הראשונה ""הפרכיא"" ובשנייה ""פילכי"". ללא המספר הגדול של כתבי-היד המביאים את זה ואת זה הייתי חושב, שלפנינו שתי נוסחאות של אותו פירוש. השערה אחרת: בפעם הראשונה את הלעז ביחיד, ובכל המקורות יש לנו את השי""ן של הריבוי, ואולי אפשר לקרוא את הלעז הראשון דוקייש""א ducheise או אפילו דוקיי""ש ducheis (לא הובא במילונים). ר' מילונו של לוי (מס' 318).$
</small>","(8b:1:2) בפרוורי - בהפרכיא רוקריי""ש בלע""ז:,
(8b:4:1) בפרוורי - בפילכי רוקריי""ש בלע""ז:"
"עפצין/גלי""ש",Gittin 11a,Rashi on Gittin 11a:12:1,,"1254 גיטין יא. <b>עפצין</b><br>גלי""ש gales <b>עפצים (גידולים טפיליים בעלה האלון)</b><br><small>$
</small>","(11a:12:1) שאינו יכול לזייף - שיהא הקלף מתוקן בעפצים בשעת עיבודו שעושים אותו שחור ושוב אין אדם עושה בה מחק וחוזר וכותב עליו מפני שהוא ניכר וקלפי פרסיים אינם מעובדים בעפצין שקורין גל""ש ואדם יכול למחוק כתבו ומניח חתימת העדים וכותב למעלה ממון הרבה:"
"פרנסה/קונריי""ד",Gittin 12b,Rashi on Gittin 12b:10:2,,"1255 גיטין יב: <b>פרנסה</b><br>קונריי""ד conreid <b>ציוד, צרכים</b><br><small>ראה לעיל מס' 1136. אעיר, שבנוסח התלמוד שלפנינו שם העצם ""פרנסה"" אינו מופיע, כי אם הפועל מתפרנס. ואם כן ייתכן, שצריך לגרוס גם כאן קונריידי""ר conreider (לצייד, לפרנס).$
</small>","(12b:10:2) פרנסה - היינו כל שאר צרכיו בלשון לעז קונריי""ר:"
"סרבלי/קו""ט",Gittin 14a,Rashi on Gittin 14a:17:1,,"1256 גיטין יד. <b>סרבלי</b><br>קו""ט cot <b>שמלות, כותונות</b><br><small>ראה לעיל מס' 189.$
</small>","(14a:17:1) סרבלי - קו""ט בלע""ז:"
"(כבינתי)[כבינה]/נושק""א",Gittin 15a,Rashi on Gittin 15a:1:1,,"1257 גיטין טו. <b>(כבינתי)[כבינה]</b><br>נושק""א nosche <b>סיכה, מכבנה</b><br><small>ראה לעיל מס' 213.$
</small>","(15a:1:1) כבינתי - נושק""א בלע""ז:"
"סמא/אורפימינ""ט",Gittin 19a,Rashi on Gittin 19a:6:1,,"1258 גיטין יט. <b>סמא</b><br>אורפימינ""ט orpiment <b>צבע צהוב</b><br><small>ראה לעיל מס' 355.$
</small>","(19a:6:1) גמ' סמא - אורפימנ""ט:"
"סקרתא/מיני""א",Gittin 19a,Rashi on Gittin 19a:6:2,,"1259 גיטין יט. <b>סקרתא</b><br>מיני""א [minie] minie <b>צבע אדום (עשוי מתחמוצת העופרת)</b><br><small>בשני כתבי-יד כתוב מינ""א (סימן לנו""ן ה""רטובה"", בעל הגייה חיכית, ולפי הכתיב של היום migne, כמו בספרית mino).$
</small>","(19a:6:2) סקרתא - צבע אדום שקורין מיניא""וף "
"חרתא/אדרימינ""ט",Gittin 19a,Rashi on Gittin 19a:6:4,,"1260 גיטין יט. <b>חרתא</b><br>אדרימינ""ט adrement <b>צבע שחור</b><br><small>ראה לעיל מס' 358. אחד מכתבי-היד גורס את הלעז כבר בפירוש על ""קנקנתום"" שבמשנתנו, ובעלי התוספות מביאים אותו גם בפירוש רש""י על ""שיחור"" (להלן בגמרא) וכן ר' מישה סקוצי בסמ""ג).$
</small>","(19a:6:4) חרתא דאושכפי - אדרמינ""ט:"
"עפצים/גלי""ש",Gittin 19a,Rashi on Gittin 19a:7:1,,"1261 גיטין יט. <b>עפצים</b><br>גלי""ש gales <b>עפצים (גידולים טפיליים בעלון האלון)</b><br><small>$
</small>","(19a:7:1) במי טריא - מי גשמים לשון מורי מי טריא מים ששורים בו פרי שהוא כעין עפצים גל""ש בלע""ז:"
"מדמין/שושפיציי""ר",Gittin 19a,Rashi on Gittin 19a:11:4,,"1262 גיטין יט. <b>מדמין</b><br>שושפיציי""ר sospecier <b>לחשוד</b><br><small>$
</small>","(19a:11:4) מדמין - שושפצי""ר כמו כמדומים:"
"מיא דנרא/פויי""ל",Gittin 19b,Rashi on Gittin 19b:15:3,,"1263 גיטין יט: <b>מיא דנרא</b><br>פויי""ל fueil <b>צבע (המשחזר כתב שנמחק)</b><br><small>לפי בלונדהיים כוונת רש""י לצבע העשוי ממין חזזית, אך לפי ""הערוך"" מדובר כאן בקליפה של לימון.$
</small>","(19b:15:3) במיא דנרא - צבע שקורין פוייל""י ומעבירים מי הצבע עליו ופולט אותיות שבלע ונראות:"
"דה""מ אנדוכתרי/ברושדי""ר",Gittin 20a,Rashi on Gittin 20a:11:6,,"1264 גיטין כ. <b>דה""מ אנדוכתרי</b><br>ברושדי""ר brosder <b>רקמה</b><br><small>יכול כמובן להיות גם הפועל ""לרקום"", רך בלודנהיים ראה בו שם עצם, כנראה לפי שאר המקומות, שהלעז מופיע בהם (לעיל מס' 97 ולהלן מס' 1390).$
</small>","(20a:11:6) אנדוכתרי - תכשיט ורוקמין עליו צורות במחט כעין ברושדי""ר בלע""ז ואם רקמו עליהן אותיות הגט אינו כתב לפי שאינו כתוב וקבוע אלא מוטל על הבגד וב' ראשיו תחובים:"
"רושמא/קוינ""ץ",Gittin 20a,Rashi on Gittin 20a:15:1,,"1265 גיטין כ. <b>רושמא</b><br>קוינ""ץ coinz <b>חרט (לטביעת מטבע)</b><br><small>$
</small>","(20a:15:1) רושמא - חותם המטבע שקורין קויינ""ץ:"
"אנפיליא/קלצו""ן",Gittin 25a,Rashi on Gittin 25a:1:1,,"1266 גיטין כה. <b>אנפיליא</b><br>קלצו""ן chalcon <b>נעל-בד</b><br><small>ראה לעיל מס' 105.$
</small>","(25a:1:1) קטן ואנפיליא - קילצו""ן של בגד לאו חליצה כלל דאיש ונעל כתובים בפרשה ואם לא יחפוץ האיש וגו':"
"חמת/בולזול""א",Gittin 28a,Rashi on Gittin 28a:4:1,,"1267 גיטין כח. <b>חמת</b><br>בולזול""א bolzole <b>שק של רועים</b><br><small>ראה לעיל מס' 780.$
</small>","(28a:4:1) חמת - בולזול""א בלע""ז והיא של עור:"
"טליקא/טשק""א",Gittin 28a,Rashi on Gittin 28a:4:2,,"1268 גיטין כח. <b>טליקא</b><br>טשק""א tasche <b>שק</b><br><small>$
</small>","(28a:4:2) טליקא - טשק""א בלע""ז:"
"קיפוח/דיטרונציי""ר",Gittin 29b,Rashi on Gittin 29b:11:2,,"1269 גיטין כט: <b>קיפוח</b><br>דיטרונציי""ר detroncier <b>לקטוע</b><br><small>כמוח שקוטעים אילן ואינו יכול לעמוד, כך ""קיפח"" רב ספרא את חברו בהשגתו (ר' פירושו של רש""י דה""מ ""קפחינהו"" באותו עמוד).$
</small>","(29b:11:2) מאי קפחותא - הלא אינה תשובה דמי אמר ליה בעל אבא בר מניומי יגרשנה ולא אתה אי הוה האי ידע לה הרי צוהו תחלה לגרשה לשון קיפוח דטרונציי""ר שמקצרו מלמטה:"
"מרא/פושוי""ר",Gittin 32a,Rashi on Gittin 32a:1:2,,"1270 גיטין לב. <b>מרא</b><br>פושוי""ר [fossoir] fosoir <b>מכוש</b><br><small>ראה לעיל מס' 70.$
</small>","(32a:1:2) קופינא - חור שבראש המרא שקורין פושוי""ר (מכוש) ועל שם שדחוק בין שני צדי החור קרי ליה בין אחים שמדובקין:"
"גלופקרא/קו""ט",Gittin 35a,,Rashi on Gittin 35a:17:5,"1271 גיטין לה. <b>גלופקרא</b><br>קו""ט cot <b>שמלה, כותונת</b><br><small>ראה לעיל מס' 189.$
</small>",(35a:17:5) אלא גלופקרא - קוטא:
"ריספק/רייטונ""א",Gittin 55b,Rashi on Gittin 55b:16:2,,"1272 גיטין נה: <b>ריספק</b><br>רייטונ""א reitwage <b>מרכבה (בגרמנית)</b><br><small>$
</small>","(55b:16:2) שקא דריספק - דופן של מרכבת נשים שקורין ריטוג""א (מרכבה (בגרמנית)) בלשון אשכנז והיא כעין עגלה דאמרינן באותו ואת בנו (חולין דף עט.) כי מעיילית לי כודנייתא בריספק:"
"דוקין/טייל""א",Gittin 56a,,Rashi on Gittin 56a:3:2,"1273 גיטין נו. <b>דוקין</b><br>טייל""א teile <b>תבלול (כתם בעין המצמצם את הראייה)</b><br><small>ראה לעיל מס' 675.$
</small>","(56a:3:2) לדידהו לא הוי מומא - להקריב לגבוה בבמה דידהו אלא מחוסר אבר דוקין טיל""ה כמו הנוטה כדוק (ישעיהו מ):"
"גושקרא/שיאונדיי""ר",Gittin 56a,Rashi on Gittin 56a:11:3,,"1274 גיטין נו. <b>גושקרא</b><br>שיאונדיי""ר seondier <b>משני, בעל איכות נחותה</b><br><small>$
</small>","(56a:11:3) גושקרא - פת קיבר שאונדיי""ר:"
"גרגותני/קולידוי""ר",Gittin 56b,Rashi on Gittin 56b:11:1,,"1275 גיטין נו: <b>גרגותני</b><br>קולידוי""ר coledoir <b>מסננת</b><br><small>ראה לעיל מס' 835. כך תרגם בלונדהיים, אולם, לפי העניין בתלמוד ולפי פירוש רש""י, הייתי מתרגם ""משפך"".$
</small>","(56b:11:1) כמין גרגותני - סל גדול ששופים בו יין מגת לבור וקורין קולדויי""ר:"
