Bava Batra 2a:1	<sup>i</sup><b>W</b>ENN G<small>EMEINSCHAFTEU IM</small> [<small>GEMEINSAMEN</small>] H<small>OFE</small>$fn1 <small>EINE</small> A<small>BTEILUNG MACHEN</small>$fn2 <small>WOLLEN</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>$fn3, <small>UND ZWAR WIE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small>, <small>AUS</small> B<small>RUCHSTEINEN</small>, Q<small>UADERN</small>, H<small>ALBZIEGELN ODER</small> Z<small>IEGELN</small>; <small>ALLES NACH DEM</small> L<small>ANDESBRAUCHE</small>$fn4. 
Bava Batra 111b:10	Raba sprach: Ein scharfes Messer zerschneidet die Schriftverse$fn111!? Vielmehr, erklärte Raba, meint er es wie folgt: Ihr sollt die Erbschaft seiner Blutsverwandten ihm geben. Er ist der Ansicht, man entferne, man füge hinzu$fn112und man lege aus. 
Bava Batra 111b:11	Der folgende Autor entnimmt dies hieraus. Es wird gelehrt: <i>Er beerbe sie</i>, dies lehrt, daß der Mann seine Ehefrau beerbe – so R. A͑qiba. 
Bava Batra 111b:12	R. Jišmaél sagt, dies sei nicht nötig; es heißt :$fn80<i>und jede Tochter</i>, <i>die zu Erbbesitz gelangt, in einem von den Stämmen der Kinder Jisraél, einen der Familie &amp;c</i>.; die Schrift spricht vom Übergange$fn113durch den Mann$fn114. 
Bava Batra 111b:13	Ferner heißt es :$fn115<i>es soll nicht der Erbbesitz bei den Kindern Jisraél von Stamm zu Stamm übergehen</i>. Ferner heißt es :$fn116<i>es soll nicht der Erbbesitz von einem Stamme zu einem anderen Stamme übergehen</i>. 
Bava Batra 111b:14	Ferner heißt es :$fn117<i>und als Elea͑zar, der Sohn Ahrons, gestorben war, begrub man ihn auf dem Hügel seines Sohnes Pinḥas</i>. Woher hatte Pinḥas, was Elea͑zar nicht hatte? Dies lehrt, daß Pinḥas eine Frau geheiratet hatte, die er nach ihrem Tode beerbte. 
Bava Batra 111b:15	Ferner heißt es :$fn118<i>und Segub erzeugte Jaír; dieser hatte dreiundzwanzig Städte im Lande Gilea͑d.</i> 
Bava Batra 112a:1	Woher hattet Jaír, was Segub nicht hatte? Dies lehrt, daß Segub eine Frau geheiratet hatte, die er nach ihrem Tode beerbte. – 
Bava Batra 112a:2	Wozu ist das ‘ferner’$fn119nötig? – Man könnte glauben, die Tora spreche vom Übergange durch den Sohn$fn120, der Ehemann aber erbe nicht, so heißt$fn121es: <i>es soll nicht der Erbbesitz bei den Kindern Jisraél von Stamm zu Stamm übergehen.</i> 
Bava Batra 112a:3	Man könnte glauben, damit$fn122man dieserhalb ein Verbot und ein Gebot über trete, so heißt es: <i>es soll nicht der Erbbesitz von einem Stamme zu einem anderen übergehen</i>. 
Bava Batra 112a:4	Wolltest du sagen, damit man dieserhalb zwei Verbote und ein Gebot übertrete, so heißt es: <i>und als Eleäzar</i>, <i>der Sohn Ahrons</i>, <i>gestorben war &amp;c.</i> 
Bava Batra 112a:5	Wolltest du sagen, Elea͑zar hatte eine Frau genommen, und als sie starb, beerbte sie Pinḥas, so heißt es: <i>und Segub erzeugte Jaír &amp;c.</i> 
Bava Batra 112a:6	Wolltest du sagen, bei diesem verhalte es sich ebenso, so wären ja nicht zwei Schriftverse$fn123nötig. 
Bava Batra 112a:7	R. Papa sprach zu Abajje: Woher dies, tatsächlich, kann ich dir erwidern, erbt der Ehemann nicht, denn die Schriftverse sprechen vom Übergange durch einen Sohn, und Jaír und Pinḥas hatten es$fn124gekauft!? 
Bava Batra 112a:8	Dieser erwiderte: Von Pinḥas kannst du nicht erklären, daß er es gekauft hatte, dann das Feld müßte dann im Jobeijahre zurückgekehrt$fn125sein, und dieser Fromme wäre dann in einem fremden Grabe bestattet. 
Bava Batra 112a:9	Vielmehr ist einzuwenden, es kann ihm als Banngut$fn126zugefallen sein. 
Bava Batra 112a:10	Abajje erwiderte: Aber schließlich$fn127geht ja der Erbbesitz vom Stamme der Mutter zum Stamme des Vaters über!? – 
Bava Batra 112a:11	Wieso denn, vielleicht ist es da$fn128anders, da er bereits übergegangen$fn129ist!? Jener erwiderte: Bereits übergegangen sagen wir nicht$fn130. 
Bava Batra 112a:12	R. Jemar sprach zu R. Aši: Was ist denn dabei, wenn du sagst, bereits übergegangen 
Bava Batra 112a:13	sagen wir nicht, daß sie einen vom Stamme ihres Vaters heiratet, die Erbschaft$fn131geht ja vom Stamme der Mutter zum Stamme des Vaters über!? – 
Bava Batra 112a:14	Man verheirate sie an einen Mann, dessen Vater vom Stamme ihres Vaters und dessen Mutter vom Stamme ihrer Mutter abstammt. – Wieso heißt es demnach: 
Bava Batra 112b:1	<i>an einen vom Stamme ihres Vaters,</i> es sollte ja heißen: und ihrer Mutter!? – Wenn es so hieße, so könnte man glauben, auch entgegengesetzt$fn132, so lehrt er uns.
Bava Batra 112b:2	Es gibt eine Lehre, die den [einen Schriftvers] auf den Übergang durch den Sohn, und es gibt eine Lehre, die [den anderen] auf den Übergang durch den Ehemann bezieht. Eine Lehre bezieht ihn auf den Übergang durch den Sohn. <i>Es soll der Erbbesitz bei den Kindern Jisraél nicht von Stamm zu Stamm übergehen;</i> die Schrift spricht vom Übergange durch den Sohn. 
Bava Batra 112b:3	Du sagst, vom Übergange durch den Sohn, vielleicht ist dem nicht so, sondern vom Über gange durch den Ehemann? Wenn es heißt: <i>es soll der Erbbesitz nicht von einem Stamme zu einem anderen Stamme übergehen</i>, so ist ja schon vom Übergange durch den Ehemann gesprochen, somit spricht der Schriftvers: <i>es soll nicht der Erbbesitz bei den Kindern Jisraél von Stamm zu Stamm übergehen</i>, vom Übergange durch den Sohn. 
Bava Batra 113a:1	Ein Anderes lehrt: <i>es soll nicht der Erbbesitz</i> <i>von einem Stamme zu einem anderen Stamme übergehen;</i> die Schrift spricht vom Übergange durch den Ehemann. 
Bava Batra 113a:2	Du sagst, vom Übergange durch den Ehemann, vielleicht ist dem nicht so, sondern vom Übergange durch den Sohn? Wenn es heißt: <i>es soll nicht der Erbbesitz bei den Kindern Jisraél von Stamm zu Stamm übergehen,</i> so ist ja schon vom Übergange durch den Sohn gesprochen, somit spricht der Schriftvers: <i>es soll die Erbschaft nicht von einem Stamme zu einem anderen Stamme übergehen,</i> vom Übergänge durch den Ehemann. 
Bava Batra 113a:3	Alle stimmen also überein, daß der Schriftvers : <i>von einem Stamme zu einem anderen Stamme,</i> vom Übergänge durch den Ehemann spricht; woher ist dies erwiesen? Rabba$fn133b. R. Šila erwiderte : In diesem Schriftverse heißt es <i>Mann</i>$fn134. – In beiden heißt es ja <i>Mann</i>!? 
Bava Batra 113a:4	R. Naḥman b. Jiçḥaq erwiderte: In diesem Schriftverse heißt es: <i>anschließen</i>$fn135. – In beiden heißt es ja <i>anschließen</i>!? 
Bava Batra 113a:5	Vielmehr, erklärte Raba, in diesem Schriftverse heißt es: <i>anschließen, die Stämme.</i> R. Aši erklärte: Der Schriftvers lautet: <i>von einem Stamme zu einem anderen,</i> und ein Sohn ist kein anderer.
Bava Batra 113a:6	R. Abahu sagte im Namen R. Joḥanans im Namen R. Jannajs im Namen Rabbis, manche meinen, im Namen des R. Jehošua͑ b. Qorḥa: Woher, daß der Ehemann vom Anwartschaftlichen$fn136nicht ebenso erhält wie vom Vorhandenen? Es heißt: <i>und Segub erzeugte Jaír; dieser hatte dreiundzwanzig Städte im Lande Gilea͑d</i>; woher hatte Jaír, was Segub nicht hatte? Dies lehrt, daß Segub eine Frau geheiratet hatte, die bei Lebzeiten ihrer Erblasser$fn137gestorben war, und als diese starben, beerbte sie Jaír$fn138. 
Bava Batra 113a:7	Ferner heißt es: <i>und als Elea͑zar, der Sohn Ahrons, gestorben war, begrub &amp;c.;</i> woher hatte Pinlias, was Elea͑zar nicht hatte? Dies lehrt, daß Elea͑zar eine Frau geheiratet hatte, die bei Lebzeiten ihrer Erblasser gestorben war, und als diese starben, beerbte sie Pinḥas. – 
Bava Batra 113a:8	Wozu ist das ‘ferner’ nötig$fn139? – Man könnte glauben, Jaír habe seine verstorbene Frau beerbt, so heißt es: <i>und als Elea͑zar, der Sohn Ahrons, gestorben war</i>$fn140. Wolltest du sagen, es sei ihm als Banngut zugefallen, so beißt es$fn141<i>Sohn,</i> eine Erbschaft, auf die er Anspruch, die aber sein Sohn geerbt hatte$fn142.
Bava Batra 113a:9	D<small>IE</small> S<small>ÖHNE DER</small> S<small>CHWESTERN</small>. Es wird gelehrt: Die Söhne der Schwestern, nicht aber die Töchter der Schwestern. – 
Bava Batra 113b:1	In welcher Hinsicht$fn143? R. Šešeth erwiderte: Hinsichtlich der Bevorzugung$fn144.
Bava Batra 113b:2	R. Šemuél b. R. Jiçḥaq lehrte vor R. Hona: <i>Er beerbe sie,</i> die Erbschaft zweiter Ordnung wird mit der Erbschaft erster Ordnung$fn145verglichen ; wie bei der Erbschaft erster Ordnung der Sohn der Tochter vorgeht, ebenso geht bei der Erbschaft zweiter Ordnung der Sohn der Tochter vor.
Bava Batra 113b:3	Rabba b. Ḥanina rezitierte vor R. Naḥman:$fn146<i>Am Tage</i>, <i>an dem er seine Söhne erben läßt</i>; du darfst die Erbschaft am Tage verteilen, nicht aber darfst du die Erbschaft nachts verteilen. – Demnach beerben einen seine Kinder nur wenn er am Tage gestorben ist, nicht aber beerben sie ihn, wenn er nachts gestorben ist!? 
Bava Batra 113b:4	Du meinst wahrscheinlich die Gerichtsverhandlung$fn147in Erbschaftssachen, denn es wird gelehrt :$fn148<i>Das soll den Kindern Jisraél als Rechtssatzung gelten</i>; der ganze Abschnitt bezieht sich auf die Gerichtsverhandlung. 
Bava Batra 113b:5	Dies nach R. Jehuda, denn R. Jehuda sagte: Wenn drei [Personen] einen Kranken besuchen, so können sie, wenn sie wollen, [seine Verfügung]$fn149niederschreiben$fn150, und wenn sie wollen, eine Gerichtsverhandlung abhalten$fn151; sind es zwei, so können sie nur [seine Verfügung] niederschreiben, aber keine Gerichtsverhandlung$fn152abhalten. Hierzu sagte R. Ḥisda: Dies nur, wenn am Tage, 
Bava Batra 114a:1	nachts aber dürfen auch drei nur [seine Verfügung] niederschreiben, nicht aber eine Gerichtsverhandlung abhalten, weil sie dann nur als Zeugen gelten, und ein Zeuge nicht Richter sein kann. Jener erwiderte: Freilich, so meine ich es auch.
Bava Batra 114a:2	Es wurde gelehrt: Wie lange kann man bei einer Zueignung$fn153zurücktreten? Rabba sagt, während der ganzen Dauer der Sitzung$fn154; R. Joseph sagt, solange sie sich mit der Angelegenheit befassen. 
Bava Batra 114a:3	R. Joseph sprach: Meine Ansicht ist einleuchtend, denn R. Jehuda sagte, wenn drei [Personen] einen Kranken besuchen, so können sie, wenn sie wollen, [seine Verfügung] niederschreiben, und wenn sie wollen, eine Gerichtsverhandlung abhalten. Wenn man nun sagen wollte, während der ganzen Dauer der Sitzung, so ist ja zu berücksichtigen, er könnte $fn155zurücktreten!? 
Bava Batra 114a:4	R. Aši sagte: Ich trug dies R. Kahana vor, da sprach er zu mir: Stimmt dies denn nach R. Joseph, es ist ja zu berücksichtigen, er könnte$fn156zurücktreten!? 
Bava Batra 114b:1	Du mußt also erklären, erst wenn sie die Angelegenheit beendet$fn157haben, ebenso ist auch zu erklären, sobald sie auf gestanden sind$fn158und sich wieder niedergesetzt haben. Die Halakha ist wie R. Joseph bei einem Felde$fn159, bei der Angelegenheit$fn160und bei der Hälfte$fn161.
Bava Batra 114b:2	D<small>IE</small> F<small>RAU IHREN</small> S<small>ÖHNEN &amp;C</small>. Wozu ist dies wiederum nötig, er lehrte ja bereits im Anfangsatze: der Mann seine Mutter und der Mann seine Frau$fn162!? – 
Bava Batra 114b:3	Folgendes lehrt er uns: eine Frau [vererbt] ihrem Sohne, wie eine Frau ihrem Ehemanne vererbt: wie bei der Beerbung einer Frau durch ihren Ehemann der Mann seine Frau nicht beerbt, wenn sie sich im Grabe$fn163befindet, ebenso gilt dies auch von der Beerbung einer Frau durch ihren Sohn: der Sohn beerbt nicht seine Mutter, wenn er sich im Grabe befindet, um es seinen Brüdern väterlicherseits zu vererben$fn164.
Bava Batra 114b:4	R. Joḥanan sagte im Namen des R. Jehuda b. R. Šimo͑n: Eine Frau beerbt ihren Sohn nach der Tora, denn es heißt <i>Stämme</i>, und dies vergleicht den Stamm der Mutter mit dem Stamme des Vaters: wie beim Stamme des Vater der Vater seinen Sohn beerbt, ebenso beerbt beim Stamme der Mutter die Frau ihren Sohn. 
Bava Batra 115a:1	R. Joḥanan wandte gegen R. Jehuda b. R. Šimo͑n ein: [Es vererben] die Frau ihrem Sohne, die Frau ihrem Ehemanne und die Brüder der Mutter; diese vererben und beerben nicht!? Dieser erwiderte: Ich weiß nicht, wer diese Mišna gelehrt hat$fn165. 
Bava Batra 115a:2	Sollte er ihm doch erwidert haben, sie vertrete die Ansicht des R. Zekharja b. Haqaçab, der [das Wort] <i>Stämme</i> nicht auslegt$fn166!? – 
Bava Batra 115a:3	Die Mišna kann R. Zekharja b. Haqaçab nicht addiziert werden, denn diese lehrt: und die Söhne der Schwestern, und hierzu wird gelehrt: Die Söhne der Schwestern, nicht aber die Töchter der Schwestern, und auf unsere Frage, in welcher Hinsicht dies von Bedeutung sei, erwiderte R. Šešeth, hinsichtlich der Bevorzugung$fn167. 
Bava Batra 115a:4	Wieso kann man nun sagen, sie vertrete die Ansicht des R. Zekharja b. Haqaçab, dieser sagt ja, Sohn und Tochter seien beim Vermögen der Mutter gleichberechtigt$fn168. 
Bava Batra 115a:5	Welcher Ansicht ist unser Autor: legt er [das Wort] <i>Stämme</i> aus, so sollte auch eine Frau ihren Sohn$fn169beerben, und legt er [das Wort] <i>Stämme</i> nicht aus, woher weiß er, daß ein Sohn der Tochter beim Vermögen der Mutter vorgehe$fn170!? – 
Bava Batra 115a:6	Tatsächlich legt er [das Wort] <i>Stämme</i> aus, nur ist es hierbei$fn171anders, denn die Schrift sagt :$fn172<i>und jede Tochter</i>, <i>die zu Erbbesitz gelangt</i>, sie kann nur erben, nicht aber vererben$fn173.
Bava Batra 115a:7	<sup>ii</sup><b>D</b><small>IE</small> O<small>RDNUNG DER</small> E<small>RBSCHAFT IST FOLGENDE</small>:$fn174<i>Wenn jemand stirbt und keinen Sohn hinterläßt</i>, <i>so sollt ihr sein Erbe auf seine Tochter übergehen lassen</i>.E<small>IN</small> S<small>OHN GEHT DER</small> T<small>OCHTER VOR, UND DIE</small> N<small>ACHKOMMEN DES</small> S<small>OHNES GEHEN DER</small> T<small>OCHTER VOR; EINE</small> T<small>OCHTER GEHT DEN</small> B<small>RÜDERN</small>$fn175 <small>VOR, UND DIE</small> N<small>ACHKOMMEN</small>$fn176<small>DER</small> T<small>OCHTER GEHEN DEN</small> B<small>RÜDERN VOR; DIE</small> B<small>RÜDER GEHEN DEN</small> B<small>RÜDERN DES</small> V<small>ATERS VOR, UND DIE</small> N<small>ACHKOMMEN DER</small> B<small>RÜDER GEHEN DEN</small> B<small>RÜDERN DES</small> V<small>ATERS VOR</small>. 
Bava Batra 115a:8	D<small>IE</small> R<small>EGEL HIERBEI IST: WER BEI DER</small> E<small>RBSCHAFT VORGEHT, DESSEN</small> N<small>ACHKOMMEN GEHEN AUCH VOR; DER</small> V<small>ATER GEHT ALL SEINEN</small>$fn177N<small>ACHKOMMEN VOR</small>.
Bava Batra 115a:9	GEMARA. Die Rabbanan lehrten: <i>Sohn</i>; ich weiß dies nur vom Sohne$fn178des Sohnes und von der Tochter des Sohnes, woher dies vom Sohne der Tochter und von der Tochter der Tochter? Es heißt: <i>hat er nicht,</i> man forsche$fn179nach. 
Bava Batra 115a:10	<i>Tochter;</i> ich weiß dies nur von einer Tochter, woher$fn180dies vom Sohne der Tochter, der Tochter der Tochter und der Tochter des Sohnes des Sohnes? Es heißt: <i>hat er nicht,</i> man forsche nach. 
Bava Batra 115b:1	Auf welche$fn181Weise? Die Erbschaft reicht hinauf bis Reúben$fn182. – Sollte er doch sagen: bis Ja͑qob$fn183!? Abajje erwiderte: Es ist uns überliefert, daß ein Stamm nicht aussterbe.
Bava Batra 115b:2	R. Hona sagte im Namen Rabhs: Wenn jemand sagt, selbst der Fürst in Jisraél, die Tochter erbe mit der Tochter des Sohnes, so höre man nicht auf ihn, denn dies$fn184ist nur ein Brauch der Saduzäer. Es wird nämlich gelehrt: Am vierundzwanzigsten Ṭebeth kehrten wir zu unserem Rechte zurück. Die Saduzäer sagten nämlich, eine Tochter erbe mit der Tochter des Sohnes; 
Bava Batra 115b:3	da ließ sich R. Joḥanan b. Zakkaj mit ihnen ein und sprach zu ihnen: Toren, woher wißt ihr dies? Niemand aber war da, der ihm zu antworten wußte, nur ein Alter plapperte etwas gegen ihn und sprach: Wenn einen die Tochter seines Sohnes, die nur Rechtsnachfolgerin seines Sohnes ist, beerbt, um wieviel mehr seine eigene Tochter, die seine Rechtsnachfolgerin ist. 
Bava Batra 115b:4	Da las er ihm folgenden Schriftvers vor:$fn185<i>Dies sind die Söhne Sei͑rs, des Ḥoriters, die Einwohner des Landes: Loṭan,c Šobal, Çibeo͑n und A͑na</i>, und ferner heißt es:$fn186<i>dies sind die Söhne Çibéo͑ns: Ajja und A͑na</i>. Dies$fn187lehrt, daß Çibeo͑n seine Mutter beschlief und A͑na zeugte$fn188. – 
Bava Batra 115b:5	Vielleicht waren es zwei A͑na!? Rabba erwiderte: Ich habe etwas gesagt, was nicht einmal König Sapor, das ist nämlich Šemuél, gesagt hat. Manche sagen: R. Papa erwiderte: Ich habe etwas gesagt, was nicht einmal König Sapor, das ist nämlich Rabba, gesagt hat. Die Schrift sagt:$fn189<i>das ist der Ana,</i> das isL derselbe A͑na von vorher. 
Bava Batra 115b:6	Hierauf sprach jener: Meister, damit$fn190willst du mich abfertigen!? Dieser erwiderte: Tor, 
Bava Batra 116a:1	sollte etwa unsere vollkommene Tora nicht soviel sein, wie euer eitles Geschwätz$fn191!? Wohl gilt dies$fn192von der Tochter des Sohnes, die erbberechtigt ist gleich den Brüdern$fn193, während eine Tochter nicht erbberechtigt ist gleich den Brüdern$fn194. Da waren sie besiegt, und jenen Tag machte man zu einem Festtage.
Bava Batra 116a:2	$fn195<i>Sie sprachen: Ein Erbteil der Rettung bleibe Binjamin, daß nicht ein Stamm aus Jisraél hinweggetilgt werde.</i> 
Bava Batra 116a:3	R. Jiçḥaq aus der Schule R. Amis sagte: Dies lehrt, daß sie über den Stamm Binjamin bestimmten, daß die Tochter des Sohnes nicht mit den Brüdern$fn196erbe$fn197.
Bava Batra 116a:4	R. Joḥanan sagte im Namen des R. Šimo͑n b. Joḥaj : Wenn jemand keinen Sohn hinterläßt, der ihn beerbt, so gerät der Heilige, gepriesen sei er, über ihn in Zorn. Hierbei$fn198heißt es:$fn199<i>ihr sollt seinen Erbbesitz übergehen lassen</i>, und dort$fn200heißt es: <i>ein Tag des Zornes</i>$fn201<i>ist jener Tag</i>.
Bava Batra 116a:5	$fn202<i>Bei denen kein Wechsel ist</i>, <i>und die Gott nicht fürchten</i>. R. Joḥanan und R. Jehošua͑ b. Levi [streiten hierüber]; einer erklärt, der keinen Sohn hinterläßt, und einer erklärt, der keinen Schüler hinterläßt. 
Bava Batra 116a:6	Es ist zu beweisen, daß R. Joḥanan es ist, der keinen Schüler erklärt, denn R. Joḥanan sagte: Dies ist ein Knochen$fn203des zehnten Sohnes$fn204. – 
Bava Batra 116a:7	Wenn nun R. Joḥanan es ist, der keinen Schüler erklärt, so ist es ja R. Jehošua͑ b. Levi, der keinen Sohn erklärt, 
Bava Batra 116a:8	und [dem widersprechend] ging ja R. Jehošua͑ b. Levi ins Leichenhaus$fn004nur zu einem, der ohne Söhne starb, denn es heißt <i>:$fn205weinet, weinet über den, der dahin</i><i>geht,</i> und R. Jehuda erklärte im Namen Rabhs, über den, der ohne ein männliches Kind dahingegangen ist!? Vielmehr, R. Jehošua͑ b. Levi ist es, der keinen Schüler erklärt. – 
Bava Batra 116a:9	Wenn nun R. Jehošua͑ b. Levi es ist, der keinen Schüler erklärt, so ist es ja R. Joḥanan, der keinen Sohn erklärt, 
Bava Batra 116a:10	somit befindet sich ja R. Joḥanan mit sich selber in einem Widerspruchel? – Das ist kein Widerspruch; das eine ist seine eigene Ansicht, das andere ist die seines Lehrers.
Bava Batra 116a:11	
Bava Batra 116a:12	R. Pinḥas b. Ḥama trug vor : Es heißt :$fn206<i>und Hadad vernahm in Miçrajim, daß David sich zu seinen Vätern gelegt habe, und daß der Feldhauptmann Joa͑b gestorben sei</i>. Weshalb wird bei David [der Ausdruck] ‘legen’ und bei Joa͑b [der Ausdruck] ‘sterben’ gebraucht? – David hinterließ einen Sohn, daher wird bei ihm [der Ausdruck] ‘legen’ gebraucht, Joa͑b hinterließ keinen Sohn, daher wird bei ihm [der Ausdruck] ‘sterben’ gebraucht. – 
