Rosh Hashanah 2a:1	<b>E</b>S <small>GIBT VIER</small> J<small>AHRESANFÄNGE: DER ERSTE</small> N<small>ISAN IST</small> J<small>AHRESANFANG DER</small> K<small>ÖNIGE</small>$fn1 <small>UND DER</small> F<small>ESTE</small>$fn2. 
Rosh Hashanah 22b:2	Dies ist auch einleuchtend; ‘wenn [das Gericht] ihn nicht kennt’, und wenn du nicht so sagen wolltest, wäre unter ‘ihn’ einer zu verstehen, und einer ist ja nicht glaubwürdig, da es hierbei <i>Recht</i>$fn2heißt. Vielmehr ist unter ‘ihn’ ein Zeugenpaar zu verstehen, und ebenso ist auch unter ‘anderen’ ein anderes Zeugenpaar zu verstehen. – 
Rosh Hashanah 22b:3	Ist einer denn nicht glaubwürdig, es wird ja gelehrt, daß R. Nehoraj einst am Šabbath nach Uša ging, um über einen Zeugen zu bekunden!? – 
Rosh Hashanah 22b:4	Ich will dir sagen: R. Nehoraj hatte noch einen Zeugen mit sich, jedoch ist er wegen des Ansehens R. Nehorajs$fn3 nicht genannt. R. Aši erwiderte: Ein Zeuge war bereits in Uša, und R. Nehoraj ging hin, um sich diesem anzuschließen. – 
Rosh Hashanah 22b:5	Wozu braucht dies demnach gelehrt zu werden!? – Man könnte glauben, man dürfe in einem Zweifel$fn4 den Šabbath nicht entweihen, so lehrt er uns. 
Rosh Hashanah 22b:6	Als U͑la kam und berichtete, man habe im Westen den Mond geweiht, sprach R. Kahana: Nicht nur U͑la, der ein bedeutender Mann ist, ist glaubwürdig, sondern auch jeder andere ist glaubwürdig, weil man nicht bei einer Sache lügt, die sich später herausstellt. Ebenso wird gelehrt: Wenn jemand aus dem Ende der Welt herkommt und erzählt, das Gericht habe den Neumond geweiht, ist er glaubwürdig.
Rosh Hashanah 22b:7	A<small>NFANGS NAHM MAN</small> B<small>EKUNDUNGEN ÜBER DEN</small> N<small>EUMOND VON JEDERMANN AN</small> &amp;c. Die Rabbanan lehrten: Was war es für eine Verwirrung, die die Minäer anrichteten? – Einst wollten die Boëthosäer die Weisen irre führen und mieteten um vierhundert Zuz zwei Männer, einen von den unsrigen und den anderen von den ihrigen. 
Rosh Hashanah 22b:8	Der ihrige legte sein Zeugnis ab und entfernte sich. Hierauf sprach man zum unsrigen: Erzähle, wie hast du den Mond gesehen? Er erwiderte: Ich war auf den Stufengang von Edomim hinaufgegangen und sah ihn zwischen zwei Felsen lagern ; sein Kopf glich dem eines Kalbes, seine Ohren denen einer Ziege, seine Hörner denen eines Hirsches und der Schwanz lag ihm zwischen den Hüften, und als ich ihn erblickte, erschrak ich und fiel rücklings nieder; wenn ihr mir nicht glaubt, so sind hier die zweihundert Zuz in meinem Gewande eingebunden. 
Rosh Hashanah 22b:9	Darauf sprachen diese zu ihm: Wer verleitete dich dazu? Dieser erwiderte: Als ich erfuhr, daß die Boëthosäer die Weisen irre führen wollen, sagte ich: ich will gehen und dies verraten, denn sonst könnten unwürdige Leute kommen und die Weisen irreführen. 
Rosh Hashanah 22b:10	Da sprachen sie zu ihm: Die zweihundert Zuz seien dir geschenkt$fn5, und der dich gemietet hat, soll auf den Pfahl gespannt$fn6 werden. Darauf ordnete man an, [das Zeugnis] nur von Bekannten entgegenzunehmen.
Rosh Hashanah 22b:11	<b>A</b><small>NFANGS ZEIGTE MAN</small> [<small>DIE</small> W<small>EIHE DES</small> N<small>EUMONDS</small>] <small>DURCH</small> F<small>EUERSIGNALE AN</small>, <small>SEITDEM ABER DIE</small> S<small>AMARITANER EINE</small> V<small>ERWIRRUNG ANRICHTETEN, ORDNETE MAN AN, DASS</small> B<small>OTEN AUSZIEHEN SOLLTEN</small>. 
Rosh Hashanah 22b:12	<sup>ii</sup> W<small>IE ZEIGTE MAN ES DURCH</small> F<small>EUERSIGNALE AN?</small> M<small>AN HOLTE LANGE</small> S<small>TANGEN AUS</small> Z<small>EDERNHOLZ</small>, R<small>OHR</small>, O<small>LEASTERHOLZ</small>$fn7 <small>UND</small> W<small>ERG (VON</small> F<small>LACHS) UND UMWICKELTE ALLES MIT EINER</small> S<small>CHNUR</small>. <sup>iii</sup> H<small>IERAUF STIEG JEMAND AUF DIE</small> B<small>ERGSPITZE, ZÜNDETE ES AN UND SCHWANG ES HIN UND HER, AUFWÄRTS UND ABWÄRTS, BIS ER SAH, DASS SEIN</small> G<small>ENOSSE AUF DER NÄCHSTEN</small> B<small>ERGSPITZE DAS GLEICHE TAT; UND EBENSO</small> [<small>EIN ANDERER</small>] <small>AUF DER DRITTEN</small> B<small>ERGSPITZE</small>. 
Rosh Hashanah 22b:13	V<small>ON WO AUS ZEIGTE MAN DIE</small> F<small>EUERSIGNALE AN?</small> V<small>OM</small> Ö<small>LBERGE NACH</small> S<small>ARṬABA, VON</small> S<small>ARṬABA NACH</small> A<small>GRIPPINA</small>$fn8, <small>VON</small> A<small>GRIPPINA NACH</small> Ḥ<small>AVRAN UND VON</small> Ḥ<small>AVRAN NACH</small> B<small>ETH</small> B<small>ALTIN; VON</small> B<small>ETH</small> B<small>ALTIN AUS SIGNALISIERTE ER NICHT WEITER, SONDERN SCHWANG</small> [<small>DIE</small> F<small>ACKEL</small>] <small>HIN UND HER, AUFWÄRTS UND ABWÄRTS, BIS ER DAS GANZE</small> D<small>IASPORAGEBIET WIE EINE</small> F<small>EUERFLAMME VOR SICH SAH</small>.<sup>iv</sup>
Rosh Hashanah 22b:14	GEMARA. Wieso ist es erwiesen, daß ‘masiin’ die Bedeutung ‘zünden’ hat? – Es heißt:$fn9<i>vajisaém David [und seine Leute]</i>, was übersetzt wird: <i>David zündete sie an</i>.
Rosh Hashanah 22b:15	Die Rabbanan lehrten: Man zeigt die Weihe des Neumondes durch Feuersignale an, nur wenn man ihn zur rechten Zeit gesehen hat. Wann signalisiert man? Am Abend der Konjunktion. – 
Rosh Hashanah 22b:16	Demnach erfolgt dies nur dann, wenn der vorangehende Monat unvollzählig ist, nicht aber, wenn er vollzählig ist; aus welchem Grunde? R. Zera erwiderte: Mit Rücksicht auf einen Neumondstag eines unvollzähligen Monats, der auf einen Vorabend des Šabbaths fällt. [In diesem Falle] hat es am Ausgange des Šabbaths zu erfolgen, 
Rosh Hashanah 23a:1	und wenn man sagen wollte, es erfolge auch beim vollzähligen, so würde man im Zweifel sein, ob dieser unvollzählig sei, und nur deshalb gestern nicht signalisiert worden ist, weil es dann nicht möglich war, oder es vollzählig sei, und dies zur rechten Zeit erfolge. – 
Rosh Hashanah 23a:2	Sollte man doch sowohl an einem vollzähligen als auch an einem unvollzähligen [signalisieren], es aber ganz unterlassen, wenn der Neumondstag auf einen Vorabend des Šabbaths fällt, denn wenn man am Šabbathausgang nicht signalisiert, während es sonst auch an einem vollzähligen erfolgt, weiß man, daß dieser unvollzählig ist!? – 
Rosh Hashanah 23a:3	Man könnte dennoch irren und glauben, er sei vollzählig, und nur deshalb sei nicht signalisiert worden, weil man [durch den Sabbathschmaus] verhindert wurde. – 
Rosh Hashanah 23a:4	Sollte man am vollzähligen signalisieren und am unvollzähligen nicht!? Abajje erwiderte: Damit das Volk nicht zwei Tage von der Arbeit zurückgehalten werde$fn10.
Rosh Hashanah 23a:5	W<small>IE ZEIGTE MAN ES DURCH</small> F<small>EUERSIGNALE AN?</small> M<small>AN HOLTE</small> S<small>TANGEN &amp;C</small>. R. Jehuda sagte: Es gibt vier Arten Zedern: Zeder, Kedros, Oleaster und Zypresse. Kedros ist wie Rabh sagte, die Idra, wie sie in der Schule R. Šilas sagen, die Mabeliga, und wie manche sagen, der Golamus$fn11. 
Rosh Hashanah 23a:6	Er streitet somit gegen Raba b. R. Hona, denn Raba b. R. Hona sagte : Es gibt zehn Arten Zedern, denn es heißt:$fn12<i>ich will die Wüste besetzen mit Zedern, Akazien, Myrten und Ölbäumen, und die Steppe mit Zypressen, Ulmen und Buchsbäumen allzumal</i>. (Zeder heißt Arza; Akazie, Turnitha; Myrte, Asa; Ölbaum, Balsam; Zypresse, Brotha; Ulme, Saga; Buchsbaum, Šurbina$fn13). – 
Rosh Hashanah 23a:7	Es sind ja nur sieben!? – Als R. Dimi kam, sagte er, man habe zu diesen noch hinzugefügt die Eiche, die Terebinthe und die Koralle. (Eiche, Buṭami ; Terebinthe, Baluti; Koralle, Kesitha). Manche sagen: Den Lorbeer, die Platane und die Koralle. (Lorbeer, Ara; Platane, Dulba; Koralle, Kesitha).
Rosh Hashanah 23a:8	$fn14<i>Die kein mächtiges Fahrzeug befährt</i>. Rabh sagte: Das ist ein großes Schnellschiff. –
Rosh Hashanah 23a:9	Wie machen sie$fn15es? – Sechstausend Mann ballasten es ein Jahr (von zwölf Monaten) hindurch mit Sand, und wie manche sagen, zwölf tausend Mann sechs Monate hindurch; es wird so lange beballastet, bis [das Schiff] auf Grund$fn16sitzt. Hierauf steigt ein Taucher hinab, bindet Stricke an die Korallen und befestigt sie. Sodann wirft man den Sand über Bord, und je höher das Schiff steigt, desto mehr werden [die Korallen] aus dem Wasser gehoben. 
Rosh Hashanah 23a:10	Beim Umtausch auf Silber erhält man dafür das Doppelte. Es gibt drei Häfen, zwei römische und einen persischen; die römischen liefern Korallen, der persische liefert Perlen; dieser wird Hafen von Mašmahig$fn17genannt.
Rosh Hashanah 23a:11	R. Joḥanan sagte: Jede einzelne Akazie, die die Nichtjuden von Jerušalem genommen haben, wird der Heilige, gepriesen sei er, ihm dereinst zurückerstatten, denn es heißt: <i>ich will die Wüste mit Zedern, Akazien &amp;c.</i>, und unter ‘Wüste’ ist Jerusalem zu verstehen, denn es heißt:$fn18<i>Çijon ward zur Wüste</i>.
Rosh Hashanah 23a:12	Ferner sagte R. Joḥanan: Wer die Tora lernt und sie nicht lehrt, gleicht einer Myrte in der Wüste. Manche lesen: Wer die Tora lernt und sie in einem Orte lehrt, wo kein Schriftgelehrter ist, gleicht einer Myrte in der Wüste, weil sie da gesucht ist.
Rosh Hashanah 23a:13	Ferner sagte R. Joḥanan: Wehe den Völkern, für die es kein Mittel mehr gibt, denn es heißt:$fn19<i>anstatt des Erzes will ich Gold bringen, anstatt des Eisens will ich Silber bringen, anstatt des Holzes Erz und anstatt der Steine Eisen</i>. Was aber könnte R. A͑qiba und seine Genossen ersetzen$fn20!? Über sie heißt es:$fn21<i>ich werde ihr Blut rächen, das ich noch nicht gerächt habe</i>.
Rosh Hashanah 23a:14	V<small>ON WO AUS ZEIGTE MAN DIE</small> F<small>EUERSIGNALE AN? &amp;C</small>. V<small>ON</small> B<small>ETH</small> B<small>ALTIN</small>. Was ist Beth Baltin? Rabh erwiderte: 
Rosh Hashanah 23b:1	Das ist Biram. – 
Rosh Hashanah 23b:2	Welches heißt Diasporagebiet? R. Joseph erwiderte: Pumbeditha. – Wieso wie eine Feuerflamme? – Es wird gelehrt: Jeder nahm eine Fackel in die Hand und stieg auf das Dach. 
Rosh Hashanah 23b:3	Es wird gelehrt: R. Šimo͑n b.Elea͑zar sagte: Auch in Ḥarim, Kajar, Gader und ihrer Umgegend. Manche sagen, diese lagen zwischen jenen, und manche sagen, diese lagen an der anderen Seite Palästinas. Einer nennt [die Ortschaften der] einen Seite, und einer nennt die der anderen Seite. 
Rosh Hashanah 23b:4	R. Joḥanan sagte: [Die Entfernung] zwischen dem einen und dem anderen [Orte] betrug acht Parasangen. – Das sind demnach zweiunddreißig, und jetzt sind es ja bedeutend mehr!? Abajje erwiderte: Die Wege sind jetzt versperrt$fn22, 
Rosh Hashanah 23b:5	denn es heißt:$fn23<i>ich will deine Wege mit Dornen verlegen</i>. R. Naḥman b. Jiçḥaq entnimmt dies aus Folgendem :$fn24<i>er zerstörte meine Pfade</i>.
Rosh Hashanah 23b:6	<sup>v</sup> <b>I</b><small>N</small> J<small>ERUŠALEM WAR EIN GROSSER</small> H<small>OF, DER</small> B<small>ETH</small> J<small>A͑ZEQ GENANNT WURDE, WO DIE</small> Z<small>EUGEN SICH VERSAMMELTEN UND VOM</small> G<small>ERICHTE VERHÖRT WURDEN</small>. D<small>A WURDEN IHNEN GROSSE</small> M<small>AHLZEITEN BEREITET, DAMIT SIE ZU KOMMEN ANGEREGT WERDEN</small>. 
Rosh Hashanah 23b:7	V<small>ORMALS DURFTEN SIE SICH VON DORT DEN GANZEN TAG</small>$fn25 <small>NICHT ENTFERNEN, SPÄTER ABER ORDNETE</small> R. G<small>AMLIÉL</small> der Ä<small>LTERE AN</small>, <small>DASS SIE ZWEITAUSEND</small> E<small>LLEN NACH JEDER</small> R<small>ICHTUNG</small> [<small>GEHEN</small>] <small>DÜRFEN</small>.
Rosh Hashanah 23b:8	U<small>ND DIES GILT NICHT NUR VON DIESEN ALLEIN, SONDERN AUCH DIE WEISE</small> F<small>RAU, DIE</small> G<small>EBURTSHILFE LEISTEN KOMMT, ODER WER BEI EINER</small> F<small>EUERSBRUNST, EINEM RÄUBERISCHEN</small> Ü<small>BERFALL</small>, <small>EINER</small> [Ü<small>BERSCHWEMMUNG</small>] <small>DES</small> F<small>LUSSES ODER EINEM</small> E<small>INSTURZ</small> H<small>ILFE LEISTEN KOMMT, SIE ALLE HABEN GLEICH DEN ÜBRIGEN</small> B<small>EWOHNERN DES</small> O<small>RTES ZWEITAUSEND</small> E<small>LLEN NACH JEDER</small> R<small>ICHTUNG</small>.
Rosh Hashanah 23b:9	GEMARA. Sie fragten: Heißt es Beth Ja͑zeq oder Beth Jazeq? Beth Ja͑zeq bedeutet Freudiges, denn es heißt:$fn26<i>er behackte [vajaa</i>͑<i>zqehu] und entsteinigte ihn</i>; Beth Jazeq dagegen bedeutet Trauriges, denn es heißt: $fn27<i>er war in Ketten gefesselt [baaziqim]</i>$fn28.
Rosh Hashanah 23b:10	Abajje erwiderte: Komm und höre: Da wurden für sie große Mahlzeiten bereitet, damit sie zu kommen angeregt werden. – Da war vielleicht beides.
Rosh Hashanah 23b:11	<sup>vi</sup> <b>W</b><small>IE VERHÖRT MAN DEN</small> Z<small>EUGEN?</small> D<small>AS</small> P<small>AAR, DAS ZUERST KOMMT, VERHÖRT MAN ZUERST</small>. M<small>AN LÄSST DEN GRÖSSEREN EINTRETEN UND SPRICHT ZU IHM:</small> E<small>RZÄHLE, WIE HAST DU DEN</small> M<small>OND GESEHEN?</small> V<small>OR DER</small> S<small>ONNE ODER HINTER DER</small> S<small>ONNE?</small> N<small>ÖRDLICH VON IHR ODER SÜDLICH?</small> W<small>IE HOCH WAR ER?</small> N<small>ACH WELCHER</small> R<small>ICHTUNG NEIGTE ER?</small> W<small>IE BREIT WAR ER?</small> S<small>AGT ER: VOR DER</small> S<small>ONNE, SO IST SEINE</small> A<small>USSAGE NICHTIG</small>. 
Rosh Hashanah 23b:12	H<small>IERAUF LÄSST MAN DEN ZWEITEN EINTRETEN UND VERHÖRT IHN</small>. E<small>RGIBT ES SICH, DASS IHRE</small> A<small>USSAGEN ÜBEREINSTIMMEN, SO IST IHR</small> Z<small>EUGNIS GÜLTIG, UND DIE ÜBRIGEN</small> P<small>AARE BEFRAGT MAN NUR OBERFLÄCHLICH; NICHT ETWA, WEIL MAN IHRER BRAUCHT, SONDERN NUR, DAMIT SIE NICHT MISSMUTIG FORTGEHEN, UND DAMIT SIE ZU KOMMEN ANGEREGT WERDEN</small>.
Rosh Hashanah 23b:13	GEMARA. Vor der Sonne ist ja dasselbe, was nördlich, und hinter der Sonne ist ja dasselbe, was südlich!? Abajje erwiderte: Ob die Schattenseite [des Mondes] zur Sonne oder von der Sonne gewendet war; sagt er: zur Sonne, so ist seine Aussage nichtig. 
Rosh Hashanah 23b:14	R.Joḥanan sagte nämlich: Es heißt :$fn29<i>sein ist die Herrschermacht und die Majestät, er stiftet Frieden in seinen Höhen</i>; noch nie hat die Sonne die Schattenseite des Mondes gesehen, noch die Schattenseite des Regenbogens. Nicht die Schattenseite des Mondes, damit er nicht entmutigt werde; nicht die Schattenseite des Regenbogens, damit die Sonnenanbeter nicht sagen,
Rosh Hashanah 24a:1	sie werfe Pfeile.
Rosh Hashanah 24a:2	W<small>IE HOCH WAR ER?</small> N<small>ACH WELCHER</small> R<small>ICHTUNG NEIGTE &amp;C</small>. Das eine lehrt, wenn nördlich, sei seine Aussage gültig, und wenn südlich, sei seine Aussage nichtig, und ein Anderes lehrt entgegengesetzt: wenn südlich, sei seine Aussage gültig, und wenn nördlich, sei seine Aussage nichtig!? – 
Rosh Hashanah 24a:3	Das ist kein Widerspruch; das eine im Sommer und das andere in der Regenzeit$fn30.
Rosh Hashanah 24a:4	Die Rabbanan lehrten: Wenn einer sagt, er war zwei Ochsenstecken hoch, und einer sagt, drei, so ist. ihr Zeugnis gültig; wenn, einer sagt, drei, und einer sagt, fünf, so ist ihr Zeugnis ungültig; wohl aber wird [die Aussage des einen] mit der eines anderen vereinigt.
Rosh Hashanah 24a:5	Die Rabbanan lehrten: [Sagen sie], sie haben ihn$fn31im Wasser gesehen, in einem Glasgefäße oder durch die Wolken, so ist dies keine Bekundung; wenn zur Hälfte im Wasser, zur Hälfte durch die Wolken oder zur Hälfte in einem Glasgefäße, so ist dies keine Bekundung. – 
Rosh Hashanah 24a:6	Wozu ist dies von der Hälfte nötig, wenn du dies sogar vom ganzen sagst!? – Er meint es vielmehr wie folgt: zur Hälfte im Wasser und zur Hälfte am Himmel, zur Hälfte durch die Wolken und zur Hälfte am Himmel, oder zur Hälfte in einem Glasgefäße und zur Hälfte am Himmel, so ist dies keine Bekundung.
Rosh Hashanah 24a:7	Die Rabbanan lehrten: [Sagen sie], sie haben ihn gesehen und dann nicht mehr, so ist dies keine Bekundung. – Sie können ihn ja gesehen haben und fortgegangen sein!? 
Rosh Hashanah 24a:8	Abajje erwiderte: Er meint es wie folgt: wir hatten ihn zufällig gesehen, und als wir ihn zu sehen wünschten, sahen wir ihn nicht mehr, so ist dies keine Bekundung. – Aus welchem Grunde? Sie haben wahrscheinlich nur eine helle Wolkenkugel gesehen.
Rosh Hashanah 24a:9	<b>D</b><small>ER</small> G<small>ERICHTSPRÄSIDENT SPRICHT:</small> G<small>EWEIHT, UND DAS GANZE</small> V<small>OLK SPRICHT IHM NACH:</small> G<small>EWEIHT, GEWEIHT</small>. <sup>vii</sup> M<small>AN WEIHE IHN, EINERLEI OB ER ZUR</small> Z<small>EIT SICHTBAR WAR ODER ZUR</small> Z<small>EIT NICHT SICHTBAR WAR</small>. 
Rosh Hashanah 24a:10	R. E<small>LEA͑ZAR B</small>. Ç<small>ADOQ</small> sagt, <small>WAR ER ZUR</small> Z<small>EIT NICHT SICHTBAR, SO WEIHE MAN IHN NICHT, DA MAN IHN BEREITS IM</small> H<small>IMMEL GEWEIHT HAT</small>.
Rosh Hashanah 24a:11	GEMARA. D<small>ER</small> G<small>ERICHTSPRÄSIDENT &amp;C</small>. Woher dies? R. Ḥija b.Gamda erwiderte im Namen des R. Jose b.Šaúl im Namen Rabbis: Die Schrift sagt :$fn32<i>Moše verkündete die Feste des Herrn</i>; hieraus, daß der Gerichtspräsident sagen muß: Geweiht.
Rosh Hashanah 24a:12	U<small>ND DAS GANZE</small> V<small>OLK SPRICHT IHM NACH:</small> G<small>EWEIHT, GEWEIHT</small>. Woher dies? R. Papa erwiderte: Die Schrift sagt:$fn33<i>die ihr zu verkünden habt</i>, und man lese <i>atem</i> [ihr] statt <i>otham</i> [die]. R. Naḥman b. Jiçḥaq sagte: Hieraus:$fn33<i>diese sind meine Feste</i>; sie müssen sagen: meine Feste. – 
Rosh Hashanah 24a:13	Wozu zweimal: geweiht, geweiht? – Es heißt:$fn33<i>heilige Verkündungen</i>.
Rosh Hashanah 24a:14	R. E<small>LEA͑ZAR B</small>.Ç<small>ADOQ SAGT, WAR ER ZUR</small> Z<small>EIT NICHT SICHTBAR, SO WEIHE MAN IHN NICHT</small>. Es wird gelehrt: Pelemo sagte, wenn zur Zeit, brauche man ihn nicht$fn34zu weihen, wenn nicht zur Zeit, müsse man ihn weihen; 
Rosh Hashanah 24a:15	R. Elea͑zar b. R. Šimo͑n$fn35sagt, ob so oder so brauche man ihn nicht zu weihen, denn es heißt:$fn36<i>ihr sollt das fünfzigste Jahr weihen</i>, du hast das Jahr zu weihep, nicht aber sind die Monate zu weihen. R. Jehuda sagte im Namen Šemuéls: Die Halakha ist wie R. Elea͑zar b.Çadoq.
Rosh Hashanah 24a:16	Abajje sprach: Auch wir haben es gelernt: Wenn das Gericht und ganz Jisraél ihn gesehen haben und die Zeugen auch vernommen worden sind, aber bevor es noch ‘Geweiht’ auszusprechen kam, es dunkel ward, so ist es ein Schaltmonat. Nur ein Schaltmonat, geweiht aber nicht. – 
Rosh Hashanah 24a:17	Daß er ein Schaltmonat ist, muß besonders gelehrt werden; man könnte glauben, da das Gericht und ganz Jisraél ihn gesehen haben, sei es bekannt, und man mache ihn nicht zum Schaltmonat, so lehrt er uns.
Rosh Hashanah 24a:18	<sup>viii 1</sup> <b>R.</b> G<small>AMLIÉL HATTE IN SEINEM</small> S<small>ÖLLER</small> A<small>BBILDUNGEN VON</small> M<small>ONDFIGUREN AUF EINER</small> T<small>AFEL (UND) AN DER</small> W<small>AND; DIESE ZEIGTE ER DEN UNKUNDIGEN, INDEM ER SPRACH:</small> H<small>AST DU IHN SO GESEHEN</small>? <small>ODER SO</small>?
Rosh Hashanah 24a:19	GEMARA. Ist dies denn erlaubt, es heißt ja:$fn37<i>ihr sollt neben mir nicht fertigen</i>, ihr dürft keine Abbildungen meiner Dienstlinge anfertigen!? 
Rosh Hashanah 24a:20	Abajje erwiderte: Die Tora hat nur [die Abbildung von] Dienstlingen verboten, wie man solche anfertigen kann. Es wird nämlich gelehrt: Man darf nicht ein Haus in der Form des Tempels bauen, eine Vorhalle in der Form der Tempelhalle, einen Hof in der Form des Tempelhofes, einen Tisch in der Form des Tisches$fn38, einen Leuchter in der Form des Leuchters$fn38. Einen solchen darf man
Rosh Hashanah 24b:1	fünf-, sechs- und achtarmig machen, aber nicht siebenarmig, auch nicht aus anderem Metalle; R. Jose b.Jehuda sagt, nicht einmal aus Holz, denn daraus fertigten ihn Könige$fn39des hašmonäischen Hauses. 
