Genesis 1 1,"At the beginning of God’s creating<br>of the heavens and the earth,"
Numbers 4 34,"So Moshe, Aharon and the leaders of the community counted all the Sons of Kehat,<br>by their clans, by their Fathers’ House,"
Numbers 4 35,"from the age of thirty years and upward until the age of fifty years,<br>everyone that entered the working-force, for the serving-tasks in the Tent of Appointment."
Numbers 4 36,"Now those counted of them were, by their clans: two thousand seven hundred and fifty."
Numbers 4 37,"These are the accountings of the Kehatite clans, <br>everyone that was serving in the Tent of Appointment,<br>whom Moshe and Aharon counted by order of <small>YHWH</small>, by the hand of Moshe."
Numbers 4 38,"Now those counted of the Sons of Gershon,<br>by their clans, by their Fathers’ House,"
Numbers 4 39,"from the age of thirty years and upward until the age of fifty years,<br>everyone who entered the work-force, for the serving-tasks in the Tent of Appointment:"
Numbers 4 40,"those counted of them were, by their clans, by their Fathers’ House:<br>two thousand six hundred and thirty."
Numbers 4 41,"These are the accountings of the clans of the Sons of Gershon,<br>everyone that did service in the Tent of Appointment,<br>whom Moshe and Aharon counted by order of <small>YHWH</small>."
Numbers 4 42,"And those counted of the clans of the Sons of Merari,<br>by their clans, by their Fathers’ House,"
Numbers 4 43,"from the age of thirty years and upward until the age of fifty years,<br>everyone who entered the working-force, for serving-tasks in the Tent of Appointment:"
Numbers 4 44,"those counted of them were, by their clans, by their Fathers’ House:<br>three thousand and two hundred."
Numbers 4 45,"These are the accountings of the clans of the Sons of Merari,<br>whom Moshe and Aharon counted by order of <small>YHWH</small>, by the hand of Moshe."
Numbers 4 46,"All those counted, whom Moshe and Aharon and all the leaders of Israel counted, the Levites,<br>by their clans, by their Fathers’ House,"
Numbers 4 47,"from the age of thirty years and upward until the age of fifty years,<br>everyone that entered to serve the serving-tasks of the service [of packing] and the serving-tasks of carrying, in the Tent of Appointment,"
Numbers 4 48,those of them counted were: eight thousand five hundred and eighty.
Numbers 4 49,"By order of <small>YHWH</small> they were counted, by the hand of Moshe,<br>each one, each one according to his service [of packing] and to his carrying-tasks, [with] his accountability,<br>as <small>YHWH</small> had commanded Moshe."
Numbers 5 1,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 5 2,"Command the Children of Israel,<br>that they may send away from the camp<br>anyone <i>tzaraat,</i> anyone with a flow, and anyone <i>tamei</i> by a [dead] person."
Numbers 5 3,"Male and female, you are to send them away,<br>outside the camp you are to send them away,<br>so that they do not make their camp <i>tamei</i><br>where I dwell in their midst."
Numbers 5 4,"Thus did the Children of Israel: they sent them away outside the camp,<br>as <small>YHWH</small> had spoken to Moshe;<br>thus did the Children of Israel."
Numbers 5 5,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 5 6,"Speak to the Children of Israel:<br>A man or a woman—when they do any sin [committed by] humans<br>by breaking-faith, yes, faith with <small>YHWH</small>,<br>and that person realizes his guilt:"
Numbers 5 7,"they are to confess their sin that they have done,<br>and [each one] is to make-restitution for one’s guilt in its capital-amount,<br>adding its fifth to it,<br>and is to give it to the one toward whom one incurred-guilt."
Numbers 5 8,"Now if the one has no redeemer, to make-restitution of guilt-payment to him,<br>the guilt-payment is to be restored to <small>YHWH</small>, as the priest’s,<br>besides the ram of purgation with which purgation is effected for him."
Numbers 5 9,"And any contribution, including any of the holy-offerings of the Children of Israel that they bring-near for the priest,<br>shall be his."
Numbers 5 10,"So each one&mdash;his holy-offerings shall be his;<br>for each one, what he gives to the priest, shall be his."
Numbers 5 11,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 5 12,"Speak to the Children of Israel and say to them:<br>Any man, any man whose wife strays<br>and breaks-faith, yes, faith with him,"
Numbers 5 13,"in that a man lay with her, [with] an emission of seed,<br>and it was hidden from the eyes of her husband,<br>—she concealed herself, since she had made-herself-<i>tamei</i>—<br>and since there was no witness against her, she was not apprehended—"
Numbers 5 14,"and a rush of zealous-rage comes over him,<br>and he feels rage toward his wife, she having made-herself-<i>tamei;</i><br>or rush of zealous-rage comes over him"
Numbers 5 15,"and he feels rage toward his wife, though she did not make-herself-<i>tamei</i>—<br>the man is to bring his wife to the priest.<br>He is to bring a near-offering for her: <br>a tenth of an <i>efa</i> of barley meal;<br>there is not to be poured on it any oil, there is not to be put on it any frankincense,<br>for it is a grain-gift of rage,<br>grain-gift of reminding that reminds of iniquity."
Numbers 5 16,The priest is to bring her near<br>and have her stand before the presence of <small>YHWH</small>;
Numbers 5 17,"then the priest is to take holy water in an earthenware vessel,<br>and from the dirt that will be on the floor of the Dwelling<br>the priest is to take and place [it] in the water."
Numbers 5 18,"When the priest has had the woman stand before the presence of <small>YHWH</small>,<br>he is to loosen [the hair of] the woman’s head<br>and is to place on her palms the grain-gift of reminding <br>—it is a grain-gift of rage!—<br>and in the hand of the priest is to be the Water of Bitterness Bringing the Bane."
Numbers 5 19,"The priest is to have her swear and is to say to the woman:<br>If a man did not lie with you,<br>and if you did not stray to make-yourself-<i>tamei</i> under your husband[’s authority],<br>be clear from this Water of Bitterness Bringing the Bane!"
Numbers 5 20,"But you, if you strayed under your husband[’s authority],<br>if you made-yourself-<i>tamei,</i><br>and a man gave you his emission, other than your husband:"
Numbers 5 21,"then the priest is to have the woman swear the oath-curse,<br>and the priest is to say to the woman:<br>May <small>YHWH</small> make you a curse and a cause-for-oath amid your kinspeople,<br>when <small>YHWH</small> makes your thigh fall and your belly swell;"
Numbers 5 22,"may this Water of Bitterness enter your innards,<br>to cause the belly to swell and the thigh to fall!<br>And the woman is to say: Amen! Amen!"
Numbers 5 23,Then the priest is to write these curses in a record<br>and is to blot [them] into the Water of Bitterness;
Numbers 5 24,"he is to make the woman drink the Water of Bitterness Bringing the Bane,<br>so that the Water Bringing the Bane may enter her, for “bitterness.”"
Numbers 5 25,"Then the priest is to take from the hand of the woman the grain-gift of rage,<br>he is to elevate the grain-gift before the presence of <small>YHWH</small>, <br>and is to bring it near, to the altar."
Numbers 5 26,"The priest is to scoop out of the grain-gift its reminder-portion,<br>and is to turn it into smoke upon the altar;<br>after that he is to make the woman drink the water."
Numbers 5 27,"When he has had her drink the water, it shall be:<br>if she made-herself-<i>tamei</i><br>and broke-faith, yes, faith with her husband,<br>the Water Bringing the Bane shall enter her, for “bitterness,”<br>her belly shall swell and her thigh shall fall,<br>and the woman shall become an object-of-curse among her kinsfolk."
Numbers 5 28,"But if the woman did not make-herself-<i>tamei</i><br>and she is pure,<br>she is to be cleared and she may-bear-seed, yes, seed."
Numbers 5 29,"This is the Instruction [regarding] cases-of-zealous-rage,<br>when a woman strays under her husband[’s authority]<br>and makes-herself-<i>tamei,</i>"
Numbers 5 30,"or when there comes over a man a rush of zealous-rage, so that he feels rage toward his wife:<br>he is to have the woman stand before the presence of <small>YHWH</small>,<br>and the priest is to perform regarding her [according to] all this Instruction."
Numbers 5 31,"The man shall be clear of iniquity,<br>but that woman shall bear her iniquity."
Numbers 6 1,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 6 2,"Speak to the Children of Israel and say to them:<br>A man or a woman—when one sets oneself apart, by vowing the vow of a Nazirite/Consecrated-One, to consecrate-oneself for <small>YHWH</small>:"
Numbers 6 3,"from wine and from beer one is to consecrate oneself;<br>fermentation of wine and fermentation of beer one is not to drink,<br>any liquid of grapes one is not to drink,<br>and grapes, moist or dried, one is not to eat."
Numbers 6 4,"All the days of one’s being consecrated,<br>anything that is made from the vine of wine, from seeds to skin, one is not to eat."
Numbers 6 5,"All the days of one’s vow of being consecrated<br>a razor is not to go-across one’s head;<br>until the fulfilling of days that one is consecrated for <small>YHWH</small>,<br>holy shall one remain;<br>one is to grow loose the hair on one’s head."
Numbers 6 6,"All the days that one consecrates-oneself for <small>YHWH</small>,<br>near a dead person one is not to come—"
Numbers 6 7,"[even] for one’s father or one’s mother, one’s brother or one’s sister;<br>one is not to make-oneself-<i>tamei</i> by them when they die,<br>for [hair] consecrated for one’s God is upon one’s head."
Numbers 6 8,"All the days of one’s being-consecrated,<br>one is holy to <small>YHWH</small>."
Numbers 6 9,"Now if a dead [person] has died near one<br>suddenly, all-of-a-sudden,<br>so that one makes-<i>tamei</i> the consecrated [hair of one’s] head,<br>one is to shave one’s head on the day of one’s becoming-pure;<br>on the seventh day one is to shave it."
Numbers 6 10,"Now on the eighth day<br>one is to bring two turtledoves or two young pigeons to the priest,<br>to the entrance of the Tent of Appointment."
