"Meir, I Orah Hayyim.1.1",<i>Q</i>. Is it proper to wear <i>zizith</i> (fringes) made of flax?
"Meir, Iii Eben Haezer.271.5","The leaders of the communities [Spiers, Worms, and Mayence] upon learning that R. Meir permitted A's daughter to become betrothed to another man without first receiving a divorce from her first bridegroom, became highly incensed and heaped abuse upon R. Meir for having permitted a married woman to remarry. Rabbi Mordecai [of Worms, cf. Mord. Ket. 290] and his associates wrote that Rabbi Hananel in his <i>Sefer Hamikzoot</i>, the author of <i>Sekel Tob</i>, Rabiah, and Rabbi Simha [of Spiers], all ruled that a woman who was betrothed in the presence of unqualified witnesses, must receive her divorce before she is permitted to remarry. They placed A and his daughter [but probably not R. Meir] under the ban in order to force A's daughter to receive a divorce from her second bridegroom."
"Meir, Iii Eben Haezer.271.6","R. Meir became highly indignant. He pointed out the clear distinction between witnesses who were rabbinically disqualified and those who were Biblically disqualified. He proved that the above-mentioned authorities as well as Alfasi, Rabbi Kalonymus, and the author of <i>Ittur</i> [Rabbi Isaac b. Abba Mari of Marseilles] all agreed that a woman who was betrothed in the presence of Biblically disqualified witnesses required no divorce and was free to marry another. He showed that not a single authority contravened this view, and that the Rabbis of Spiers were misled in their haste and zeal by a faulty reading of the <i>Sekel Tob</i>."
"Meir, Iii Eben Haezer.271.7","R. Meir added: if the Rabbis of the communities subsequently discover an authority who ruled that such a woman must receive a divorce, they should realize that such a divorce was not required by Biblical law nor by rabbinic law, but that the authority of his own accord ruled that a divorce take place merely to dissipate evil gossip. Since the first betrothal of A's daughter took place in the presence of two witnesses who were beyond a doubt Biblically disqualified witnesses, as one of them was the nephew of the other, the betrothal was void; especially so since even at that time it was known to all bystanders that the betrothal possessed no validity whatsoever. Since she was subsequently betrothed to another, having first received permission from an authoritative court, no authority in the world would require that the Biblically valid second betrothal should be dissolved merely in order to dissipate unfounded doubts. Moreover, we are expressly enjoined by the Talmud from requiring that she receive a divorce from her second bridegroom, since such divorce would disqualify her from ever marrying her first bridegroom (Yeb. 11b). If the leaders of the communities are highly sensitive and are bent on dissipating any doubt in the matter, they should force the first bridegroom to grant a divorce to A's daughter and I, on my part, shall compel her to accept the divorce. Although such a divorce is unnecessary, and hence should not be granted, as it would bar the woman from ever marrying a man of priestly lineage, I should overlook this point in honor of the Rabbis of the communities. Accordingly A's daughter will wait for a divorce till the feast of <i>Purim</i>. If the communities will be unable to effect the divorce within that time, because of the stubbornness of the bridegroom and his refusal to comply with their request, we shall go against the wishes of the community leaders and allow A's daughter to marry her second bridegroom; as we shall not permit that she be put in a position where she can never remarry."
"Meir, Iii Eben Haezer.271.8","We have never seen revered teachers of old act in the manner of the above-mentioned community leaders. Differences of opinions have often arisen among the great authorities, some prohibiting what others permitted, but never did any one dare place under the ban those who acted contrary to his opinion. You, the aforementioned community leaders, probably delude yourselves with the idea that since your permission is required before a person may divorce his wife (see Finkelstein op. cit. p. 230), no scholar is permitted to render decisions in ritual law unless he receives your authorization. No, this is not true, for the <i>Torah</i> is free to anyone who is capable of arriving at a correct decision. You have gathered, and have associated with yourselves, men who do not understand the intricacies of the laws of marriage and divorce. I am not in a position to protest against my teacher of Spiers since I am his student [and owe him the respect and subservience of a student], but I protest against those who sought to ruin my reputation and honor. ""Blessed be the Lord who hath not given us as a prey to their teeth"". (Ps. 124, 6). ""For they hid snares to take me"". (Jer. 18,22). ""The snare is broken and we are escaped"". (Ps. 124, 7)."
"Meir, Iii Eben Haezer.271.9","S<small>OURCES</small>: Am II, 41–2; <i>Mordecai Hagadol</i>, p. 212d f.; R. Judah Mintz, <i>Responsa</i> 11."
"Meir, Iii Eben Haezer.272.1","<i>Q</i>. B admits that when A first appointed him his deputy for the purpose of betrothing L for A's wife, he stipulated that B betroth her on condition that she has no physical defects. When A formally appointed B his deputy in the presence of witnesses, however, he failed to mention such a conditional arrangement; nor did B make any reference to such an arrangement when he betrothed L for A. L has protruding glandules on her neck and legs, and A refuses to marry her. Was the betrothal void?"
"Meir, Iii Eben Haezer.272.2","<i>A</i>. If the glandules are situated in a place where sometimes they may be seen while at other times they are hidden from view, the betrothal was concluded under error and was, therefore, void. The betrothal would have been void under such circumstances even if no condition had been stipulated by A. If the glandules, however, were situated in a place where they were always exposed to view, A must have seen them and must therefore have determined to overlook them, and certainly such was the case with reference to the glandules on her legs; the betrothal was therefore valid. The condition he had stipulated was of no avail since it must have referred to other defects besides the glandules. Moreover, we know that a condition was stipulated only through B's admission, which is not sufficient evidence. If A did not know L and had never seen her, however, the betrothal was void even if no condition had been stipulated. We should not permit A, however, to marry another woman since we have no record that the great Rabbis, our predecessors, ever permitted such a marriage in practice. You are at liberty, though, to act as you see fit."
"Meir, Iii Eben Haezer.272.3","This Responsum is addressed to ""my teacher Rabbi Israel b. Urshrago""."
"Meir, Iii Eben Haezer.272.4","S<small>OURCES</small>: <i>Mordecai Hagadol</i>, p. 168b."
"Meir, Iii Eben Haezer.273.1","<i>Q</i>. B sent A to betroth Leah as his wife on his (B's) behalf. A came to Leah's town, invited the important persons of the community, showed them proof that he acted as B's agent, and appointed witnesses, but when he came to betroth Leah as B's wife, he said: ""You are hereby betrothed to me"", instead of ""You are hereby betrothed to B."" When the witnesses objected, A said that it was a slip of the tongue, that he did not intend to betroth Leah as his wife, especially since he was married already and that he would not violate the prohibition of polygamy by Rabbenu Gershom. He, therefore, repeated the ceremony and betrothed Leah to B. Must A divorce Leah before she may marry B?"
"Meir, Iii Eben Haezer.273.2","<i>A</i>. No, A is to be believed that he did not intend to betroth Leah as his wife, and his unintentional act is not valid."
"Meir, Iii Eben Haezer.273.3","R. Meir adds: I wrote you my opinion but I do not want you to rely on it to free Leah without a divorce until you have inquired of the Rabbis of the surrounding territory and of the Rabbis of France. If they agree with me you may accept the above decision; but if they do not agree with me, their opinion is to take precedence over mine."
"Meir, Iii Eben Haezer.273.4","S<small>OURCES</small>: Pr. 586, 1015; Mord. Kidd. 522, 548; Tesh. Maim. to <i>Nashim</i>, 3."
"Meir, Iii Eben Haezer.274.1","The reason, for the custom to betroth again a wife whom one has betrothed through a messenger, is that a personal betrothal is the greater <i>Mitzvah</i>. However, the majority of the Jews do not follow this practice."
