Menachot 2a:1	<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn1<small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small>$fn2, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small>$fn3 <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small>$fn4. 
Menachot 49a:4	nicht aber, wenn man sie im Glauben, es seien Widder, als Widder geschlachtet hat, denn die irrtümliche Aufhebung$fn356gilt als Aufhebung. Raba aber sagt, die irrtümliche Aufhebung gilt nicht als Aufhebung. 
Menachot 49a:5	Raba sagte: Dagegen wandte man ein: Wenn Priester im Tempel vorsätzlich [Opfer] verwerflich gemacht haben, so sind sie ersatzpflichtig. Demnach sind sie frei, wenn versehentlich. Hierzu wird gelehrt, die Verwerflichkeit sei$fn357gültig. 
Menachot 49a:6	In welchem Falle, wollte man sagen, wenn er wußte, daß es ein Sündopfer ist, und die Absicht hinsichtlich eines Heilsopfers$fn358hegte, so ist dies ja nicht versehentlich, sondern vorsätzlich; 
Menachot 49a:7	wahrscheinlich also, wenn er glaubte, es sei ein Heilsopfer, und die Absicht hinsichtlich eines Heilsopfers hegte, und er lehrt, die Verwerflichkeit sei gültig. Die irrtümliche Aufhebung gilt also als Aufhebung. 
Menachot 49a:8	Abajje sprach zu ihm: Tatsächlich, wenn er wußte, daß es ein Sündopfer ist, und die Absicht hinsichtlich eines Heilsopfers hegte, jedoch glaubte, dies sei erlaubt. 
Menachot 49a:9	R. Zera wandte ein: R. Šimo͑n sagte: Alle Speisopfer sind, wenn der Haufe auf einen anderen Namen abgehoben worden ist, tauglich, und sie werden dem Eigentümer als Pflichtopfer angerechnet, 
Menachot 49a:10	weil die Speisopfer nicht den Schlachtopfern gleichen: wenn man ein Pfannenopfer auf den Namen eines Tiegelopfers abhäuft, so beweist die Zubereitung, daß es ein Pfannenopfer ist, wenn ein trockenes auf den Namen eines umgerührten, so beweist die Zubereitung, daß es ein trockenes ist; 
Menachot 49a:11	anders aber verhält es sich bei den Schlachtopfern: bei allen erfolgt das Schlachten gleichmäßig, bei allen erfolgt die [Blut]aufnahme gleichmäßig und bei allen erfolgt das Sprengen gleichmäßig. 
Menachot 49a:12	In welchem Falle, wollte man sagen, wenn er wußte, daß es ein Pfannenopfer ist, und den Haufen als Tiegelopfer abgehoben hat, so ist ja der Beweis durch die Zubereitung belanglos, da er ihn aufgehoben$fn359hat; 
Menachot 49a:13	wahrscheinlich also, wenn er glaubte, es sei ein Tiegelopfer, und irrtümlich den Haufen auf den Namen eines Tiegelopfers abgehoben hat. Dies$fn360gilt also nur hierbei, weil die Zubereitung es beweist, in anderen Fällen aber gilt die irrtümliche Aufhebung als Aufhebung!? 
Menachot 49a:14	Abajje erwiderte ihm: Tatsächlich, wenn er wußte, daß es ein Pfannenopfer ist, und den Haufen auf den Namen eines Tiegelopfers abgehoben hat, 
Menachot 49a:15	wenn du aber einwendest, der Beweis durch die Zubereitung sei demnach belanglos, so vertritt Raba hierbei seine Ansicht. Raba sagte nämlich: Bei einer nicht ersichtlich [falschen] Absicht hat der Allbarmherzige es als untauglich erklärt, bei einer ersichtlich [falschen] Absicht$fn361hat der Allbarmherzige es nicht als untauglich erklärt.
Menachot 49a:16	<sup>iv</sup> <b>D</b><small>IE</small> Z<small>USATZOPFER SIND NICHT VON DEN BESTÄNDIGEN</small> O<small>PFERN ABHÄNGIG, DIE BESTÄNDIGEN</small> O<small>PFER SIND NICHT VON DEN</small> Z<small>USATZOPFERN ABHÄNGIG, UND DIE</small> Z<small>USATZOPFER SIND NICHT VON EINANDER</small>$fn362<small>ABHÄNGIG</small>. H<small>ABEN SIE DAS</small> L<small>AMM</small>$fn363<small>MORGENS NICHT DARGEBRACHT, SO BRINGEN SIE ES DENNOCH ABENDS DAR</small>. 
Menachot 49a:17	R. Š<small>IMO͑N SAGTE</small>: N<small>UR DANN, WENN ES DURCH</small> Z<small>WANG ODER VERSEHENTLICH ERFOLGT IST, HABEN SIE ABER VORSÄTZLICH MORGENS DAS</small> L<small>AMM NICHT DARGEBRACHT, SO BRINGEN SIE ES AUCH ABENDS NICHT DAR</small>. 
Menachot 49a:18	H<small>ABEN SIE DAS</small> R<small>ÄUCHERWERK MORGENS NICHT GERÄUCHERT, SO RÄUCHERN SIE ES DENNOCH ABENDS</small>. 
Menachot 49a:19	R. Š<small>IMO͑N SAGTE</small>: D<small>AS GANZE</small>$fn364<small>WURDE ABENDS DARGEBRACHT, DENN DER GOLDENE</small> A<small>LTAR WIRD NUR MIT DEM</small> R<small>ÄUCHERWERKE</small>$fn365<small>EINGEWEIHT, DER</small> B<small>RANDOPFERALTAR NUR MIT DEM BESTÄNDIGEN</small> M<small>ORGENOPFER, DER</small> T<small>ISCH NUR MIT DEM</small> S<small>CHAUBROTE AM</small> Š<small>ABBATH, UND DER</small> L<small>EUCHTER NUR MIT DEN SIEBEN</small> L<small>AMPEN ABENDS</small>.
Menachot 49a:20	GEMARA. R. Ḥija b. Abin fragte R. Ḥisda: Wie ist es, wenn die Gemeinde nicht das beständige Opfer und das Zusatzopfer hat; welches geht vor? – 
Menachot 49a:21	In welchem Falle, wollte man sagen, das beständige Opfer für heute und das Zusatzopfer für heute, so geht ja selbstverständlich das beständige Opfer vor, da es häufiger ist und [bereits] heilig$fn366!? – 
Menachot 49a:22	Vielmehr, das beständige Opfer für morgen und das Zusatzopfer für heute; geht das beständige Opfer vor, da es häufiger ist, oder geht das Zusatzopfer vor, da es [bereits] heilig ist? 
Menachot 49a:23	Dieser erwiderte: Ihr habt es gelernt: die Zusatzopfer sind nicht von den beständigen Opfern abhängig, die beständigen Opfer nicht von den Zusatzopfern abhängig, und die Zusatzopfer sind nicht voneinander abhängig. 
Menachot 49a:24	In weicher Hinsicht, wollte man sagen, wenn [beide] vorhanden sind, hinsichtlich des Vorangehens$fn367, so wird ja gelehrt: Woher, daß nichts dem beständigen Morgenopfer vorangehen darf? Es heißt:$fn368<i>er schichte darauf das Brandopfer</i>, 
Menachot 49a:25	und Raba erklärte: <i>das Brandopfer</i>, das erste$fn369Brandopfer. 
Menachot 49b:1	Wahrscheinlich also, wenn nicht [beide] vorhanden sind. Ferner: sind beide für heute, weshalb dies, von häufigerem und heiligerem ist ja das häufigere bevorzugter$fn370. 
Menachot 49b:2	Doch wohl [das eine] für morgen, und er lehrt, sie seien von einander nicht abhängig, demnach gleichen sie einander. 
Menachot 49b:3	Abajje entgegnete: Tatsächlich, wenn [beide] vorhanden sind, hinsichtlich des Vorangehens, wenn du aber einwendest, diesem$fn371dürfe nichts vorangehen, so ist dies nur Gebot$fn372. – 
Menachot 49b:4	Komm und höre: Es mußten mindestens sechs untersuchte Lämmer im Lämmerstalle sein, wie für einen Šabbath und die beiden Festtage$fn373des Neujahres. 
Menachot 49b:5	In welchem Falle, sind beständige Opfer und Zusatzopfer vorhanden, so sind ja mehr erforderlich; 
Menachot 49b:6	wahrscheinlich also, wenn [letztere] nicht vorhanden sind, somit ist hieraus zu entnehmen, daß die beständigen Opfer bevorzugter$fn374sind. – 
Menachot 49b:7	Nein, tatsächlich wenn sie vorhanden sind, nur meint er es wie folgt: es müssen mindestens sechs untersuchte Lämmer vier Tage$fn375 vor dem Schlachten im Lämmerstalle sein. Dies nach Ben Bag Bag, 
Menachot 49b:8	denn es wird gelehrt: Ben Bag Bag sagte: Woher, daß das beständige Opfer vier Tage vor dem Schlachten untersucht werden muß? Hierbei heißt es:$fn376<i>ihr sollt wahren, mir zur bestimmten Zeit darzubringen</i>, und dort$fn377heißt es: <i>und es bleibe euch zur Verwahrung bis zum vierzehnten Tage</i>, 
Menachot 49b:9	wie dort vier Tage vor dem Schlachten$fn378eine Untersuchung erforderlich ist, ebenso ist hierbei vier Tage vor dem Schlachten eine Untersuchung erforderlich. 
Menachot 49b:10	Rabina sprach zu R. Aši: Wieso sechs, es sind ja sieben erforderlich, denn es kommt ja noch das Morgen[opfer] des Dienstags$fn379hinzu!? – 
Menachot 49b:11	Nach deiner Auffassung sind ja acht erforderlich, denn es kommt ja noch eines für den Vorabend des Šabbaths hinzu!? – 
Menachot 49b:12	Das ist kein Einwand, dies ist zu verstehen, nachdem dieses dargebracht worden$fn380ist; 
Menachot 50a:1	aber sieben müßten es ja sein!? – Vielmehr, der Autor spricht von den gewöhnlichen$fn381 [Tagen], und [die Angabe:] ausreichend für einen Šabbath und die beiden Festtage des Neujahres, ist nur ein Merkzeichen$fn382. 
Menachot 50a:2	Dies ist auch zu beweisen, denn es heißt: wie für einen Šabbath, es heißt aber nicht: [ausreichend] für einen Šabbath$fn383und die beiden Festtage des Neujahres. Schließe hieraus.
Menachot 50a:3	H<small>ABEN SIE DAS</small> L<small>AMM MORGENS NICHT DARGEBRACHT &amp;C</small>. R. Š<small>IMO͑N SAGTE</small>: D<small>AS GANZE WURDE ABENDS DARGEBRACHT, DENN DER GOLDENE</small> A<small>LTAR WIRD NUR MIT DEM</small> R<small>ÄUCHERWERKE EINGEWEIHT</small>. Wer spricht hier von der Einweihung? – 
Menachot 50a:4	[Die Mišna] ist lückenhaft und muß wie folgt lauten: haben sie das Lamm morgens nicht dargebracht, so bringen sie es abends nicht dar; dies gilt nur von dem Falle, wenn der Altar noch nicht eingeweihte$fn384 worden ist, ist aber der Altar eingeweiht worden, so bringen sie es abends dar. 
Menachot 50a:5	R. Šimo͑n sagte: Nur dann, wenn es durch Zwang oder versehentlich erfolgt ist, wenn sie aber vorsätzlich das Lamm morgens nicht dargebracht haben, so bringen sie es auch abends nicht dar. Haben sie das Räucherwerk morgens nicht geräuchert, so räuchern sie es dennoch abends. – 
Menachot 50a:6	Woher dies? – Die Rabbanan lehrten:$fn385<i>Und das andere Lamm sollst da abends herrichten</i>; nur das andere ist abends [herzurichten], nicht aber ist das erste abends [herzurichten]. 
Menachot 50a:7	Dies gilt nur von dem Falle, wenn der Altar noch nicht eingeweiht worden ist, ist aber der Altar eingeweiht worden, so ist auch das erste abends [herzurichten]. 
Menachot 50a:8	R. Šimo͑n sagte: Nur dann, wenn dies durch Zwang oder versehentlich erfolgt ist, haben sie aber vorsätzlich das Lamm morgens nicht dargebracht, so bringen sie es auch abends nicht dar. Haben sie das Räucherwerk morgens nicht geräuchert, so räuchern sie es dennoch abends. – 
Menachot 50a:9	Sollte denn, weil die Priester gefehlt$fn386haben, der Altar leer bleiben!? Raba erwiderte: Er meint es wie folgt: diese$fn387dürfen nicht darbringen, wohl aber bringen andere dar; 
Menachot 50a:10	haben sie aber morgens das Räucherwerk nicht geräuchert, so räuchern sie es abends. Dies ist nämlich selten$fn388und macht reich$fn389, daher begeht man daran keine Fahrlässigkeit.
Menachot 50a:11	R. Š<small>IMO͑N SAGTE</small>: D<small>AS GANZE WÜRDE ABENDS DARGEBRACHT, DENN DER GOLDENE</small> A<small>LTAR WIRD NUR MIT DEM</small> R<small>ÄUCHERWERKE DES</small> A<small>BENDS EINGEWEIHT &amp;C</small>. Es wird ja aber gelehrt: mit dem Räucherwerke des Morgens!? – [Hierüber streiten] Tannaím. 
Menachot 50a:12	Abajje sagte: Die Ansicht desjenigen, welcher sagt, mit dem Räucherwerke des Abends, ist einleuchtend; es heißt:$fn390<i>Morgen für Morgen, wenn er die Lampen putzt, soll er es räuchern</i>; 
Menachot 50a:13	wieso könnte er sie morgens putzen, wenn das Anzünden nicht am Abend [vorher] erfolgt sein$fn391würde!? 
Menachot 50a:14	Derjenige aber, welcher sagt, mit dem Räucherwerke des Morgens, folgert dies vom Brandopferaltar; wie dieser mit dem beständigen Opfer des Morgens, ebenso auch jener mit dem Räucherwerke des Morgens.
Menachot 50a:15	D<small>ER</small> T<small>ISCH NUR MIT DEM</small> S<small>CHAUBROTE AM</small> Š<small>ABBATH</small>. Demnach wurde er wochentags nur nicht eingeweiht, wohl aber wird es$fn392heilig!? – 
Menachot 50a:16	Dies lehrt er uns eben: die Einweihung und die Heiligung durch den Tisch erfolgt nur am Šabbath. Dem entspricht auch der Schlußsatz: und der Leuchter nur mit den sieben Lampen abends$fn393.
Menachot 50a:17	Die Rabbanan lehrten: Das$fn394ist das Räucherwerk, das für Einzelpersonen auf dem äußeren Altar dargebracht worden ist, und zwar war es eine Bestimmung pro praesenti$fn395. – Wo war dies? R. Papa erwiderte: Bei den Stammesfürsten. – 
Menachot 50a:18	Demnach darf es ein einzelner nur auf dem äußeren Altar nicht darbringen, wohl aber auf dem inneren Altar. Ferner: auf dem äußeren Altar darf nur ein einzelner nicht darbringen, wohl aber die Gemeinde. 
Menachot 50a:19	[Dem widersprechend] wird ja aber gelehrt: Man könnte glauben, ein einzelner dürfe es$fn396freiwillig spenden und darbringen, und hiervon heiße es:$fn397<i>den Ausspruch deiner Lippen sollst da halten</i>, so heißt es:$fn398<i>ihr sollt auf ihn nicht fremdes Räucherwerk bringen</i>. 
Menachot 50a:20	Man könnte glauben, nur ein einzelner dürfe es nicht bringen, weil er solches nicht als Pflichtopfer bringt, 
Menachot 50b:1	wohl aber dürfe die Gemeinde es bringen, die solches$fn399als Pflichtopfer bringt, so heißt es:$fn400<i>ihr sollt nicht bringen</i>. 
Menachot 50b:2	Man könnte glauben, man dürfe es auf den inneren Altar nicht bringen, wohl aber auf den äußeren Altar, so heißt es:$fn401<i>und das Salböl und das Räucherwerk von Spezereien für das Heiligtum; wie ich dir geboten habe, sollen sie tun</i>; nur das, was im Abschnitte gesagt ist!? 
Menachot 50b:3	R. Papa erwiderte: Dies ist selbstverständlich; selbstverständlich ist dies$fn402von der Gemeinde auf dem äußeren Altar, da dies nicht vorkommt, und selbstverständlich ist dies von einem einzelnen auf dem inneren Altar, da dies nicht vorkommt, aber dies gilt auch von einem einzelnen auf dem äußeren Altar, obgleich wir dies bei den Stammesfürsten finden, denn bei diesen war es eine Bestimmung pro praesenti.
Menachot 50b:4	<sup>v,1</sup> <b>D</b><small>AS</small> P<small>FANNENOPFER DES</small> H<small>OCHPRIESTERS</small>$fn403<small>WURDE NICHT GETEILT</small>$fn404<small>GEBRACHT, VIELMEHR BRACHTE ER EIN GANZES</small> I͑<small>ARON UND TEILTE ES, DIE</small> H<small>ÄLFTE BRACHTE ER MORGENS DAR UND DIE</small> H<small>ÄLFTE ABENDS</small>. W<small>ENN 
Menachot 50b:5	DER</small> P<small>RIESTER MORGENS DIE</small> H<small>ÄLFTE DARGEBRÄCHT HAT UND GESTORBEN IST, UND AN SEINER</small> S<small>TELLE EIN ANDERER EINGESETZT WORDEN IST, SO DARF DIESER NICHT EIN HALBES</small> I͑<small>SARON VOM</small> H<small>AUSE ODER DAS HALBE</small> I͑<small>SARON SEINES</small> V<small>ORGÄNGERS DARBRINGEN, VIELMEHR BRINGE ER EIN GANZES</small> I͑<small>SARON UND TEILE ES, DIE</small> H<small>ÄLFTE BRINGE ER DAR UND DIE</small> H<small>ÄLFTE GEHE VERLOREN; ES ERGIBT SICH, DASS ZWEI</small> H<small>ÄLFTEN DARGEBRACHT WERDEN UND ZWEI</small> H<small>ÄLFTEN VERLORELN GEHEN</small>.
Menachot 50b:6	GEMARA. Die Rabbanan lehrten: Würde es geheißen haben: Speisopfer, die Hälfte, so würde man verstanden haben, er bringe morgens ein halbes I͑saron vom Hause und bringe es dar, und abends ein halbes I͑saron vom Hause und bringe es dar, 
Menachot 50b:7	daher heißt es:$fn405<i>seine Hälfte morgens und seine Hälfte abends</i>, er bringe die Hälfte vom ganzen dar. Wie mache er es? Er hole ein ganzes I͑saron und teile es, die Hälfte bringe er morgens dar und die Hälfte abends. 
Menachot 50b:8	Man könnte glauben, wenn die Hälfte des Abends unrein geworden oder abhanden gekommen ist, bringe er abends ein halbes I͑saron vom Hause und bringe es dar, so heißt es: <i>seine Hälfte morgens und seine Hälfte abends</i>, er bringe die Hälfte vom ganzen dar. 
Menachot 50b:9	Wie mache er es? Er hole ein ganzes I͑saron und teile es, die Hälfte bringe er dar und die Hälfte gehe verloren; es ergibt sich, daß zwei Hälften dargebracht werden und zwei Hälften verloren gehen. 
Menachot 50b:10	Man könnte glauben, wenn der Hochpriester morgens die Hälfte dargebracht hat und gestorben ist, und an seiner Stelle ein anderer eingesetzt worden ist, bringe dieser ein halbes I͑saron vom Hause oder ein halbes I͑saron seines Vorgängers dar, so heißt es: <i>und seine Hälfte abends</i>, er bringe die Hälfte vom ganzen dar. 
Menachot 50b:11	Wie mache er es? Er hole ein ganzes I͑saron und teile es, [die Hälfte] bringe er dar und die Hälfte gehe verloren; es ergibt sich, daß zwei Hälften verloren gehen und zwei Hälften dargebracht werden.
Menachot 50b:12	Ein Jünger rezitierte vor R. Naḥman: Man lasse die Hälfte des ersten und die Hälfte des anderen verderben, und sie kommen in den Verbrennungsraum. 
Menachot 50b:13	Da sprach R. Naḥman zu ihm: Allerdings die des ersten, da sie zur Darbringung geeignet$fn406war, wozu aber ist das Verderbenlassen bei der des anderen nötig, sie war ja von vornherein zur Vernichtung$fn407 bestimmt!? 
Menachot 50b:14	Der dir dies gesagt hat, ist wohl ein Schüler der Schule des Rabba b. Abuha, welcher sagt, das Verderbenlassen sei sogar beim Verwerflichen$fn408erforderlich. 
Menachot 50b:15	R. Aši sagte: Du kannst auch sagen, nach den Rabbanan, denn da man bei der Teilung beliebig die eine oder die andere darbringen kann, so gelten beide als geeignet.
Menachot 50b:16	Es wurde gelehrt: Wie wurde das Pfannenopfer des Hochpriesters hergerichtet? R. Ḥija b. Abba sagte im Namen R. Joḥanans, es wurde gebakken und nachher gebrägelt. R. Aši sagte im Namen R. Ḥaninas, es wurde gebrägelt und nachher gebacken. 
Menachot 50b:17	R. Ḥija b. Abba sagte: Meine Ansicht ist einleuchtend;$fn409<i>tuphine</i>, dies heißt teaphena naéh, [beim Backen$fn410schön]. R. Asi sagte: Meine Ansicht ist einleuchtend; <i>tuphine</i>, dies heißt teaphena na [beim Backen halbgar]. 
Menachot 50b:18	So folgende Tannaím: <i>Tuphine</i>, dies heißt teaphena na [beim Backen halbgar]. Rabbi erklärte: <i>Tuphine</i>, teaphena naéh, [beim Backen schön]. R. Jose erklärte: Wiederholt$fn411backen. Er hält von [der Auslegung] halbgar und von [der Auslegung] schön.
Menachot 50b:19	Dort haben wir gelernt: Das Kneten, das Formen und das Backen des Pfannenopfers des Hochpriesters erfolgt innerhalb$fn412und es verdrängt den Šabbath. 
Menachot 50b:20	Woher dies$fn413? R. Hona erwiderte: <i>Tuphine</i>, teaphena naéh [beim Backen schön], und wenn man es am vorangehenden Tage backt, verliert es das [frische] Aussehen. R. Joseph wandte ein: Man kann es ja in Kräutern$fn414verwahren!? 
Menachot 50b:21	In der Schule R. Jišma͑éls wurde gelehrt:$fn415<i>Soll es hergerichtet werden</i>, selbst am Šabbath, <i>soll es hergerichtet werden</i>, selbst in Unreinheit. 
Menachot 50b:22	Abajje erwiderte: die Schrift sagt:$fn416<i>Feinmehl als beständiges Speisopfer</i>, 
