		comma separated			Halachic/Midrashic/Mahshava/Linguistic									For placed sources	For unplaceable Sources	For unplaceable Sources			
מדרש אגדה (בובר) ויקרא פרשת צו פרק ח	Midrash Agadah (Buber) Vayikra parshat Tzav 8	Zion, Jerusalem		time to come, standing at Sinai, coming world		The Holy One, Adam	Sinai, mountain, Throne of Glory, fire	20	Ezekiel	25	no	no	no	x	ד"א ואת כל העדה הקהל. אמר לו להיכן אקהל אותם, אמר לו אל פתח אוהל מועד, אמר לו הקדוש ברוך הוא ואתה תמה מזה, בוא וראה השמים הללו כמה גדולים הם, כי כל הארץ אינה לפני השמים כחרדל אחד, והעין אינו רואה כי אם מן השחור אשר בתוך השחור, והשמים יכילו בתוך אותו השחור, ואתה אומר לי היכן יכולים להתקבץ, ולא עוד אלא לעתיד לבוא כך אני עושה, כי כל האוכלוסין אשר היו מאדם הראשון ועד סוף העולם, כולם צריך להחיות אותם, ולהביאם אל עיר ציון, והיא ציון כמה תכיל, והם עתידים לומר צר לי המקום גשה לי ואשבה (ישעיה מט כ) ומה אני עושה להם אני מרחיבה, שנאמר הרחיבי מקום אהלך וגו' (שם נד ב), ומהיכן אתה למד, מסיני, כיון שנגלה עליו הקדוש ברוך הוא, מה כתיב רכב אלהים רבותים וגו' (תהלים סח יח), עשרים ושנים אלף מרכבות ירדו עם הקדוש ברוך הוא, וכל מרכבה ומרכבה כמו שראה יחזקאל ע"ה, ולא יכול הר סיני להחזיק, אלא מעשה נסים היה. כי אמר הקדוש ברוך הוא להר הרחיב הארך וקבל עבדי אדוניך, מיד נתרחב וקבל הכל, וכן לעולם הבא הקדוש ברוך הוא מרחיב את ירושלים, כמו שנאמר ורחבה ונסבה [למעלה וגו'] (יחזקאל מא ז), עד שתגיע לכסא הכבוד. וכיצד עולים, הקדוש ברוך הוא עושה להם עננים, והן רוכבים על גבי עננים, ומעלין אותן למעלה, שנאמר מי אלה כעב תעופינה וכיונים אל ארובותיהם (ישעיה ס' ח'), וכל אחד ואחד מן הצדיקים יש לו חופה בפני עצמו, שנאמר וברא ה' כל מכון הר ציון ועל מקראה וגו' [כי על כבוד חופה] (שם ד' ה'), וכיון שמגיעים לכסא הכבוד אומר להם אני ואתם נהלך בעולם, שנאמר והתהלכתי בתוככם והייתי לכם לאלהים [ואתם תהיו לי לעם] (ויקרא כו יב), ולצדיקים עושה מחילות והקב"ה יושב באמצע, ואומרים זה לזה כי זה אלהים אלהינו וגו' (תהלים מח טו), לפי שהיו אומרים האומות בעולם הזה אי אלהימו צור חסיו בו (דברים לב לז), לפיכך אלהים אלהיך אנכי:	Another explanation. “And assemble the entire community…” (Leviticus 8:3) He said to Him: where shall I assemble them? He replied: at the entrance to the Tent of Meeting. The Holy One said to him: are you surprised at this? Come and see how great these heavens are, because all of the earth is like one mustard seed before the heavens, and the eye only sees through the black which is within the black. The heavens are contained within that black and you say to me ‘where are they able to assemble?’ Furthermore, in the time to come I will do the same. All of the population which has existed from the time of the first human until the end of the world need to be resurrected and brought to the city of Zion. And how much can Zion hold? And in the future they will say “The place is too narrow for me; move over for me so that I will dwell.” (Isaiah 49:20) What will I do for them? I will expand her, as it says “Widen the place of your tent…” (Isaiah 54:2) From where do you learn this? From Sinai. When the Holy One was revealed upon it, what is written “God's chariot is twice ten thousand times…” (Psalms 68:18) Twenty-two thousand chariots descended with the Holy One, each chariot like that which Ezekiel saw, and Sinai was not able to hold all this. Rather, it was a miraculous event. When the Holy One said to the mountain: expand your length and receive the servants of your Master! It widened immediately and received everything. So too in the world to come the Holy One will expand Jerusalem, as it says “And it became wider and it wound higher…” (Ezekiel 41:7) until it reaches the Throne of Glory. And how will they go up? The Holy One will make clouds for them and they will ride on the clouds which will lift them up on high, as it says “Who are these that fly like a cloud and like doves to their cotes?” (Isaiah 60:8) And each of the righteous has a canopy to himself, as it says “And the Lord shall create over every dwelling of Mount Zion and over all those summoned therein, a cloud by day and smoke, and splendor of a flaming fire at night, for, in addition to every honor, there will be a shelter.” (Isaiah 4:5) And once they arrive at the Throne of Glory He will say to them: I and you will go together in the world, as it says “I will walk among you and be your God, and you will be My people.” (Leviticus 26:12) And the righteous will dance in circles and the Holy One will sit in the middle. They will say to one another “For this is God, our God…” (Psalms 48:15) Because in this world the nations say “Where is their deity, the rock in which they trusted…” (Deuteronomy 32:37) therefore I am God, your God. (Psalms 50:7)	x		Midrash Agadah
יחזקאל פרק מח	Ezekiel 48:35	The Lord Is There						20	Ezekiel	26	yes	yes	yes	Ezekiel 48:35					
רש"י יחזקאל פרק מח פסוק לה	Rashi Ezekiel 48:35	The Lord Is There, Jerusalem, Yireh, Shalem				Avraham, Yitzchak	shechina	20	Ezekiel	27	yes	no	yes	Rashi on Ezekiel 48:35:2					
רד"ק יחזקאל פרק מח פסוק לה	Radak Ezekiel 48:35	The Lord Is There, The Lord is Our Righteousness					shechina, king, messiah	20	Ezekiel	28	no	no	no	x	ושם העיר מיום ה' שמה - רוצה לומר ומאז והלאה יהיה שם העיר ה' שמה רוצה לומר כי עד עולמי עד לא תסור עוד שכינתו מן העיר, וכן אמר ירמיהו הנביא וזה אשר יקראו לו ה' צדקנו וכן על מלך המשיח וזה שמו אשר יקראו ה' צדקנו	and the name of the city from that day will be "The Lord is There." – That is to say, from then on the name of the city will be the Lord is There. Meaning that His Presence will never again remove from the city, forever and ever. Jeremiah the prophet also said that it will be called “The Lord is our righteousness.” (Jeremiah 33:16) And so to regarding the King Messiah “…this is his name that he shall be called, The Lord is our righteousness.” (Jeremiah 23:6)	x		Radak
תלמוד בבלי מסכת בבא בתרא דף עה עמוד ב	Talmud Bavli Baba Batra 75b	Jerusalem, The Lord Is There				The Holy One	messiah	20	Ezekiel	29	yes	no	yes	Bava Batra 75b:8-14			I didn't place a final line of translation: "From where do we learn this?" It didn't seem to follow the lines I placed		
בראשית רבה (וילנא) פרשת תולדות פרשה סד סימן ד	Bereshit Raba (Vilna) parshat Toldot 64:4	Jerusalem, Yireh, The Lord Is There, The Throne of the Lord		Avraham before the land		Avraham, The Holy One	Torah	20	Ezekiel	30	yes	no	yes	Bereishit Rabbah 64:4		“Because Abraham hearkened to My voice…” (Genesis 26:5) R’ Yochanan and R’ Chanina both said: Avraham was forty-eight years old when he came to awareness of his Creator. Resh Lakish said: Avraham came to awareness of his Creator at age three, for one hundred and seventy-two years Avraham listened to the voice of his Creator. ‘And he will keep My injunctions, commandments, statutes and My Torah’ R’ Yonatan said in the name of R’ Yochanan: Even the laws of mingling courtyards were known to Avraham. My Torah (torati) – he kept two Torahs, even the lightest commandment of the Oral Law. R’ Simon even the new name which the Holy One will call Jerusalem in the future was known to Avraham, as it is written “And Abraham named that place, The Lord will see…” (Genesis 22:14) and it is written “…and the name of the city from that day will be ‘The Lord is There.’” (Ezekiel 48:35) And it is written “At that time, they will call Jerusalem The Throne of the Lord…” (Jeremiah 3:17) R’ Berachia said in the name of R’ Yehudah: there is no day on which the Holy One does not innovate a law in the court above. What is the reason for this? “Hear attentively the noise of His voice and the sound that emanates from His mouth.” (Job 37:2) And ‘sound’ (hegeh) always means Torah, as it says “…you shall meditate (hagitah) therein day and night…” (Joshua 1:8)	This was already placed earlier, but that translation differs from the translation here.		
פסיקתא דרב כהנא (מנדלבוים) פיסקא כב - שוש אשיש ד"ה כי כארץ תוציא	Pesikta d’Rav Kahana 22	The Lord Is There					king	20	Ezekiel	31	yes	no	yes	Pesikta D'Rav Kahanna 22:5					
בראשית רבתי פרשת בראשית עמוד 47	Bereshit Rabati parshat Bereshit p. 47	The Lord Is There, Jerusalem 		coming world		The Holy One	shechina	20	Ezekiel	32	no	no	no	x	ומנין שיש י"ח אלף עולמים והעוה"ז והעוה"ב בתוך, שנאמר [סביב] שמנה עשר אלף ושם העיר וגו' (יחזקאל מ"ח ל"ה) מלמד שמיום שהתחיל הב"ה וברא את העולם ותקן מעשה בראשית קבע הב"ה שמה של ירושלים ושמה של ארץ ישראל כדי להשרות שכינתו בתוכן ואחר שחטאו נתעלה וישב ברומו של עולם שנאמר רומה על [ה]שמים אלהים וגו' (תהלים נ"ז ו').	And from where do we know that there are eighteen thousand worlds, and that this world and the world to come are among them? As it says “All around it amounts to 18,000, and the name of the city…” (Ezekiel 48:35) This teaches that from the day on which the Holy One began to create the world and order creation, He established the name of Jerusalem and the name of the land of Israel in order to rest His Presence in their midst. And after they sinned He lifted Himself up and settled on the heights of the world, as it says “Be exalted above the heavens, O God…” (Psalms 57:6)	x		Bereshit Rabati
הושע פרק יא	Hoshea 11:9					The Holy One		21	Minor Prophets	1	yes	yes	yes	Hosea 11:9					
רש"י הושע פרק יא פסוק ט	Rashi Hoshea 11:9	Jerusalem				The Holy One	shechina	21	Minor Prophets	2	yes	no	yes	Rashi on Hosea 11:9:3					
רד"ק הושע פרק יא פסוק ט	Radak Hoshea 11:9	Jerusalem				The Holy One		21	Minor Prophets	3	no	no	no	x	ולא אבא בעיר - פי' הגאון רב סעדיה ז"ל ולא אבא בעיר אחרת אלא בירושלם, ועל הדרך הזה ת"י ולא אחליף בקרתא אוחרי עוד ית ירושלם והחכם ר' אברהם ן' עזרא פי' בקרבך קדוש אף על פי שלא אבא בעיר כמו שאמר האמנם ישב אלהים את האדם על הארץ ורז"ל פירשו ואמרו משום דבקרבך קדוש לא אבא בעיר אלא שלא אבא בירושלים של מעלה עד שאבנה ירושלם של מטה ומי איכא ירושלם למעלה אין דכתיב ירושלם הבנויה כעיר שחוברה לה יחדו:	and I will not enter a city – Rav Saadia Gaon explained this ‘I will not enter any city other than Jerusalem.’ In a similar manner Yonatan translated it into Aramaic as ‘I will not exchange Jerusalem for another city.’ The wise R’ Avraham ibn Ezra explained the verse as ‘the Holy One is in your midst, even though I will not enter the city’, as it says elsewhere “But will God indeed dwell with man on the earth?” (Chronicles II 6:18) And our Rabbis explained it as ‘because the Holy One is in your midst, I will not enter the city?! Rather, I will not come into Jerusalem above until I build Jerusalem below. And is there a Jerusalem above? Yes, as it is written “The built-up Jerusalem is like a city that was joined together within itself.” (Psalms 122:3):	x		Radak
תלמוד בבלי מסכת תענית דף ה עמוד א	Talmud Bavli Ta’anit 5a	Jerusalem				The Holy One		21	Minor Prophets	4	yes	no	yes	Talmud Taanit 5a:45-50					
יואל פרק ג	Yoel 3:5	Zion, Jerusalem	Mount Zion			Israel		21	Minor Prophets	5	yes	yes	yes	Joel 3:5					
רד"ק יואל פרק ג פסוק ה	Radak Yoel 3:5	Zion, Jerusalem		war of Gog and Magog			Gog and Magog	21	Minor Prophets	6	no	no	no	x	(ה) והיה כל אשר יקרא - כי אז במלחמת גוג ומגוג תהיה צרה גדולה לישראל זמן מועד, כמו שאמר על אותו הזמן חבי כמעט רגע עד יעבור זעם, ואז יכלו רבי' מישראל והקדושי' ויראי האל באמת ימלטו, כמו שאמר בנבואת ישעיה והיה הנשאר בציון והנותר בירושלם קדוש יאמר לו כל הכתוב לחיים בירושלם, וכן אמר, כל אשר יקרא בשם ה' והוא שיקראוהו באמת, כמו שאמר קרוב ה' לכל קוראיו לכל אשר יקראוהו באמת והם שרידי' אשר ה' קורא כי הם יקראוהו באמת והוא יקרא אותם עבדי ואוהבי: כי בהר ציון - כי שם יעלו הגוים:	And it shall come to pass that whoever shall call – Because at the time of the war of Gog and Magog Israel will be in great distress, as it says about that time “…hide for but a moment, until the wrath passes.” (Isaiah 26:20) Many from Israel will be consumed and the holy ones and those who truly fear God will escape, as it says in the prophecy of Isaiah “And it shall come to pass that every survivor shall be in Zion, and everyone who is left, in Jerusalem "holy" shall be said of him, everyone inscribed for life in Jerusalem.” (Isaiah 4:3) And thus it says ‘whoever shall call in the name of the Lord,’ that is if they call on Him in truth, as it says “The Lord is near to all who call Him, to all who call Him in truth.” (Psalms 145:18) These are the survivors whom the Lord calls because they call upon Him in truth and He will call them ‘My servants and those that love Me’: for on Mount Zion – because there the nations will go up:	No Radak on Joel		Radak
