Index Title,"The Five Books of Moses, by Everett Fox"
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 7",1 The Census (Musterings) of the Israelites; the Duties of the Levites
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 8",2 The Ordering of the Camp
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 9",3 The Census of the Levites According to Their Duties
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 10",4 The Tasks of the Levites
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 11",5 Threats to the Ritual Integrity of the Camp
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 12",6 Procedure Regarding a Nazirite; the Priestly Blessing
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 13",7 Gifts of the Tribes to the Tabernacle
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 14",8 The Tabernacle Lamps; Purification of the Levites
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 15",9 Passover in the Wilderness; God’s Presence with the Tabernacle
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 16",10 The Journey to Canaan Commences
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 17",II The Rebellious Folk: Narratives of Challenge
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 18",A Sealing the Fate of the First Generation
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 19",11 First Rebellion: Food
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 20",12 Second Rebellion: Siblings
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 21",13 The Spies’ Mission
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 22",14 Third Rebellion: Panic
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 23","15 Interlude: Rules on Sacrifices, Sabbath, and Tassels"
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 24",B The Crisis of Leadership
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 25",16 Fourth Rebellion: Korah and the Levites
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 26",17 Fifth Rebellion: After the Purge
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 27",18 The Levites as Guardians
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 28",19 Pollution by Death and Its Removal
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 29",20 Sixth Rebellion: The Sin of Moshe and Aharon
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 30",C Encountering the Other
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 31",21 Encounters with Various Neighbors; Seventh Rebellion:
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 32",Food and Water
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 33",22–24 The Bil'am Cycle
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 34",25 Final Rebellion: Apostasy
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 35",III In the Plains of Moab: Preparations for the Conquest of Canaan
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 36",26 The Second Census
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 37",27 Inheritance: the Daughters of Tzelofhad I
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 38",28–29 Sacrifices for Holy Days
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 39",30 Rules Concerning Vows
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 40",31 First Battle and Aftermath
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 41",32 Two and a Half Tribes and the Future Conquest
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 42",33 Wilderness Itinerary and Warning
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 43",34 Future Borders
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 44",35 The Levites’ Towns of Asylum
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 45",36 Inheritance: the Daughters of Tzelofhad II
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 46","In this scheme, not only does the otherwise haphazard subject matter of the book fit roughly into the three divisions, but the divisions themselves seem to correspond to narrative mood swings. This might be characterized as a movement from order to chaos, and back to order again. The wilderness camp is still connected to the ordering—nation-founding—experience of Sinai; God speaks to Moshe from the Tabernacle, both here and in Leviticus, and the structure serves as a surrogate Mount Sinai. The concerns of Part I, therefore, are expressed in lists, and the section is filled with them."
"The Five Books of Moses, by Everett Fox, Numbers, On the Book of Numbers and Its Structure 47","With the rebellion narratives of Part II, which not coincidentally take place as soon as Israel sets out on its journey through the wilderness, the idealistic order of Sinai is broken, and the people (and Moshe) must deal with the harsh reality of life in the desert. It becomes clear that nation-founding involves not only the giving of laws and the arranging of societal roles, but also the developing of the ability to cope with physical and spiritual challenges to survival."
